LOCH KISHORN (COULDORAN),,,,,,,,,,
Grid ref,NG843441,Long,-5.595384,Lat,57.435844,Elevation,50,ft,,
Station no,5791/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,15.07,11.32,7.5,6.33
February,,,,,,,5.14,7.04,5.43,6.57
March,,,,,,,9.31,3.88,4.44,2.23
April,,,,,,,4.49,5.17,7.26,6.71
May,,,,,,,2.5,7.47,3.23,3.42
June,,,,,,,4.18,2.4,7.57,6.34
July,,,,,,,6.02,3.01,10.09,4.54
August,,,,,,,7.28,5.29,6.23,5.9
September,,,,,,,7.82,5.46,5.26,5.42
October,,,,,,,16.32,12.21,12.31,1.51
November,,,,,,,5.78,3.73,8.63,7.47
December,,,,,,,12.98,7.11,9.21,12.79
Total,,,,,,,96.89,74.09,87.16,69.23
,,,,,,,,,,
Station no,5791/4,,,,,,,,,
Midas,14110,,,,,,,,,
Hyd Stn,709764,,,,,,,,,
