"NUTFIELD PRIORY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1234,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.43,2.96,3.73,1.72,2.93,2.91,3.03,2.31,3.39,,,
February,0.66,0.27,2.52,3.82,0.81,4.20,2.62,4.61,1.48,,,
March,1.76,1.64,2.03,1.69,1.53,0.87,0.48,3.00,2.09,,,
April,2.92,1.50,3.17,2.30,3.98,3.19,4.18,2.15,1.81,,,
May,1.22,1.73,0.86,3.27,3.83,2.53,1.89,1.13,2.33,,,
June,1.53,0.14,1.45,0.55,2.81,0.21,3.88,3.88,2.77,,,
July,4.80,0.21,3.82,4.01,4.10,4.80,2.09,3.16,1.80,,,
August,1.47,1.81,2.65,2.15,3.84,2.89,2.62,5.30,2.71,,,
September,4.57,1.05,1.88,1.59,3.48,2.86,0.79,5.79,0.77,,,
October,1.38,1.26,0.99,7.00,3.71,3.47,2.42,2.15,5.59,,,
November,2.04,1.72,1.86,1.72,3.35,2.97,5.83,3.07,2.73,,,
December,3.06,1.87,4.15,3.04,3.42,3.53,0.58,5.28,3.12,,,
Total,28.84,16.16,29.11,32.86,37.79,34.43,30.41,41.83,30.59,,,
Calc annual,28.84,16.16,29.11,32.86,37.79,34.43,30.41,41.83,30.59,0.00,0.00,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,
