KNEBWORTH-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,TL232207,Long,-0.21192163,Lat,51.871277,Elevation,391,ft,,,,,,,,,,,,
Station no,RR6491,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,1.67,4.12,1.72,2.6,0.45,1.09,1.43,2.44,2.49,2.65,3.37,2.15,,
February,,,,,,,2.78,2.26,1.56,3.14,2.49,3.21,1.98,4.12,1.22,2.29,0.46,0.82,,
March,,,,,,,3.33,2.16,1.12,1.27,0.34,1.72,1.57,1.11,1.64,1.05,1.61,1.58,,
April,,,,,,,2.7,3.26,3.14,2.55,2.76,0.86,3.56,1.74,1.27,2.36,2.04,1.15,,
May,,,,,,,0.72,2.02,4.72,3.2,0.56,1.03,1.83,1.82,0.59,2.24,4.84,2.63,,
June,,,,,,,1.11,1.09,2.31,4.3,2.07,2.01,2.97,1.93,2.19,1.98,0.9,0.75,,
July,,,,,,,1.02,3.56,0.93,4.28,5.3,1.86,2.28,5.16,3.88,0.32,2.27,0.55,,
August,,,,,,,1.88,3.3,6.01,5.07,0.95,5.8,2.1,0.88,1.36,2.13,1.26,0.97,,
September,,,,,,,4.06,1.88,1.16,2.3,4.41,2.18,2.3,3.7,2.15,4.1,1.49,2.85,,
October,,,,,,,1.9,1.22,2.65,1.24,5.68,2.91,6.3,2.13,1.81,5.42,3.73,1.6,,
November,,,,,,,3.66,3.63,4.28,0.85,2.49,3.32,3.53,3.25,1.84,3.7,3.14,3.17,,
December,,,,,,,5.21,2.35,1.37,0.58,2.88,4.1,3.07,1.32,2.59,1.05,3.98,1.18,,
Total,,,,,,,30.04,30.85,30.97,31.38,30.38,30.09,32.92,29.6,23.03,29.29,29.09,19.4,,
