WOLVERHAMPTON-GRAISELEY-PENN-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SO908976,Long,-2.1371902,Lat,52.576137,Elevation,506,ft.,,,,,,,,,,,,
Station no,RR6238,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,,,3.76,3.77,1.41,3.16,0.86,1.98,1.99,2.95,2.99,2.34,,,,,,,,
February,,,1.11,0.8,1.91,3.67,3.91,1.08,1.5,2.46,1.25,0.29,,,,,,,,
March,,,3.91,5.12,2.15,0.85,3.08,2.11,1.49,4.37,2.35,1.42,,,,,,,,
April,,,0.28,3.22,0.74,1.15,1.41,1.5,2.81,2.03,4.41,1.2,,,,,,,,
May,,,2.55,2.31,1.26,2.46,2.59,3.21,2.79,0.85,3.5,1.23,,,,,,,,
June,,,6.42,1.37,3.76,1.27,1.64,2.93,1.07,1.45,3.1,0.56,,,,,,,,
July,,,2.69,1.71,3.7,6.76,1.62,2.32,2.94,3.04,3.95,0.62,,,,,,,,
August,,,6.55,1.86,1.84,2.26,2.85,6.1,2.28,2.86,1.4,3.46,,,,,,,,
September,,,0.86,1.53,1.12,0.49,1.33,1.93,6.53,1.94,3.12,1.24,,,,,,,,
October,,,2.37,3.56,1.57,2.2,4.05,3.75,1.42,2.96,4.08,,,,,,,,,
November,,,2.39,2.35,3.24,2.37,2.73,1.86,1.96,1.68,0.6,,,,,,,,,
December,,,3.26,1.22,6.54,4.74,2.4,1.32,3.27,3.6,2.35,,,,,,,,,
Total,,,36.15,28.82,29.24,31.38,28.47,30.09,30.05,30.19,33.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Penn Road near Graiseley House; the altitude and relationships to church and station were not changed after the move from Graiseley House. ,,,,,,,,,,,,,,,,,,,,
"The observer. E. E. Berrington is noted as living Rosehaugh Lower Penn, but cannot find Rosehaugh.",,,,,,,,,,,,,,,,,,,,
"Gauge moved 0.5 miles SW to Copthorne Road in 1921, which places the gauge near what was Graisely House. NGR could be +/- 250m.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
