BORROWBY LEAKE VICARAGE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6547,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.13,2.47,2.92,1.44,1.73,,,,,,,
February,0.92,0.18,1.91,3.93,1.24,,,,,,,
March,2.62,1.06,1.51,1.49,1.20,,,,,,,
April,2.64,1.22,2.35,1.42,2.24,,,,,,,
May,2.39,1.55,0.87,2.10,4.63,,,,,,,
June,1.46,0.35,1.75,0.80,2.45,,,,,,,
July,5.15,1.55,4.11,2.42,2.61,,,,,,,
August,2.20,4.15,2.59,3.55,3.15,,,,,,,
September,1.16,1.08,2.48,2.71,1.94,,,,,,,
October,2.04,1.27,1.23,2.61,3.53,,,,,,,
November,1.07,1.96,1.14,3.41,1.46,,,,,,,
December,3.30,2.26,3.18,2.79,3.16,,,,,,,
Total,28.08,19.10,26.04,28.67,29.34,,,,,,,
Calc annual,28.08,19.10,26.04,28.67,29.34,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,
