SHIPTON-MOYNE-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST8994988646,Long,-2.1464987,Lat,51.596568,Elevation,312,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2196/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.5,2.37,2.88,0.8,3.97,4.69,3.75,5.11,2.6,3.38,3.05,5.43,1.86,2.35,2.91,2.09,5.33,1.14,0.77,3.82,2.57,0.79,2.2,2.35,4.65,3.08,3.13,4.91,4.83
February,,0.07,2.83,0.32,3.07,2.48,4.99,1.13,1.83,3.2,3.78,0.86,1.55,0.76,2.89,2.77,1.03,1.33,1.43,7.01,4.5,0.74,1.48,3.3,2.51,0.29,3.88,4.52,0.26,2.89
March,,2.35,3.51,2.29,0.81,2.4,4.27,0.26,1.92,2.39,2.87,2.49,1.12,0.31,1.04,1.26,6.47,1.71,1.69,1.59,3.78,2.78,0.98,3.26,1.72,0.73,2.95,1.68,4.05,1.88
April,,2.85,1.24,1.95,4.91,2.06,2.99,0.2,3.1,2.3,1.17,1.18,0.9,2.19,1.14,2.13,3.05,2.51,1.99,2.86,2.82,1.93,2.23,0.55,1.31,2.14,0.2,0.99,3.5,1.64
May,,6.1,2.14,1.06,1.36,1.02,2.42,2.19,0.87,2.11,2.07,5.09,2.85,1.62,2.91,4.18,2.15,4.71,3.99,2.58,2.94,3.89,2.53,1.97,5.31,0.61,1.58,3.18,1.3,2
June,,1.36,1.78,2.49,3.94,2.26,1.51,1.77,2.2,0.66,1.64,0.27,1.98,2.2,3.68,2.41,1.55,2.22,0.76,1.44,0.99,1.6,1.72,7.67,3.71,2.29,1.47,5.06,2.18,2.45
July,,1.99,1.9,1.97,0.91,5.29,2.61,1.94,4.67,3.67,3.09,2.91,2.02,2.1,1.18,1.37,3.58,0.84,1.36,3.73,1.45,0.61,4.15,2.77,0.17,3.96,4.36,3.57,2.51,4.2
August,,2.92,0.97,2.4,2.36,0.54,0.79,3.13,2.37,0.12,4.02,5.44,2.85,2.54,3.81,7.49,0.6,3.8,1.9,3.81,5.37,4.53,4.27,3.39,0.73,4.02,2.94,2.79,1.68,5.17
September,,3.59,3.53,2.24,5.5,3.44,3.01,3.38,1.64,1.24,0.68,2.09,1.92,3.23,2.29,4.44,1.62,2.52,1.73,4.11,2.86,2.46,3.98,4.88,1.19,3.87,4.56,5.49,0.13,4.25
October,,5.4,3.09,1.89,6.07,1.75,3.82,5.09,3.04,3.38,1.86,4.38,2.75,4.46,4.38,1.34,0.44,3.26,6.46,1.15,0.97,4.48,2.26,3.58,1.64,1.63,2.62,2.39,2.68,6.26
November,,2.25,0.73,1.33,6.25,4.13,1.49,3.49,5.76,8.07,2.45,1.56,1.57,5.91,0.51,5.11,2.27,1.95,3.26,5.77,6.7,4.5,2.02,7.16,3.98,0.91,2.01,2.81,3.44,5.78
December,,1.27,0.69,6.45,3.76,3.37,1.99,3.34,2.22,1.37,2.23,4.2,1.54,2.24,4.85,2.37,2.32,5.21,1.41,2.01,2.38,2.84,0.87,2.79,4.08,4.29,2.64,4.36,6.93,4.51
Total,,33.65,24.78,27.27,39.74,32.71,34.58,29.67,34.73,31.11,29.24,33.52,26.48,29.42,31.03,37.78,27.17,35.39,27.12,36.83,38.58,32.93,27.28,43.52,28.7,29.39,32.29,39.97,33.57,45.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 All values estimated (record commences 1932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
