"BROADSTONE (GRANGE ROAD)",,,,,,,,,,,,
Grid ref,SZ004955,Long,-1.995695,Lat,50.759094,,,,,,,
Station no,1600,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.28,2.27,1.00,1.91,3.67,4.17,2.95,5.11,4.23,4.09,,
February,6.36,0.60,1.73,3.90,2.30,0.20,4.65,3.19,0.31,3.60,,
March,4.04,2.90,0.63,4.62,1.37,1.00,3.15,1.82,4.18,2.22,,
April,3.36,1.91,2.41,0.15,0.71,2.05,0.19,0.44,2.99,2.11,,
May,2.53,2.72,2.79,3.88,4.49,0.48,2.28,2.65,1.44,2.52,,
June,0.47,0.83,2.25,2.97,2.58,2.13,1.41,5.32,1.73,3.20,,
July,0.99,0.80,3.17,3.14,0.50,3.28,2.97,1.93,1.71,3.93,,
August,4.35,3.61,1.82,3.75,0.43,4.12,2.90,3.25,2.33,5.39,,
September,4.16,4.47,3.57,3.44,1.16,5.04,3.52,4.69,0.26,8.47,,
October,1.21,4.65,4.08,3.12,4.37,2.27,2.94,4.12,2.79,9.27,,
November,8.81,4.01,1.84,6.26,3.25,0.86,2.48,2.97,4.42,6.32,,
December,3.02,3.25,0.99,3.99,6.03,6.22,2.82,4.40,8.52,3.31,,
Total,42.58,32.02,26.28,41.13,30.86,31.82,32.26,39.89,34.91,54.43,,
Calc annual,42.58,32.02,26.28,41.13,30.86,31.82,32.26,39.89,34.91,54.43,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
