FAREHAM-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU583062,Long,-1.17222,Lat,50.85264,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,3.55,4.79,1.55,2.82,4.49,4.17,2.15,5.26,1.2,4.39,2.02,3.65,2.13,2.25,1.12,4.4,5.48,3.78,4.56,2.91,3.58,4.14,6.21,1.82,1.91,2.36,2.87,,,
February,,0.36,2.57,4.83,0.33,4.84,1.83,3.92,2.05,1.28,1.57,1.94,0.15,3.9,0,3.69,2.51,4.65,0.47,1.08,3.46,2.93,0.36,1.48,0.71,1.83,3.16,2.29,,,
March,,1.06,2.09,1.62,1.44,0.46,0.44,2.8,2.21,0.18,1.63,1.24,1.37,3.34,2.84,1.02,2.12,3.4,0.44,0.59,3.22,3.69,2.84,0.66,0.18,0.79,1.17,6.49,,,
April,,1.13,3.28,3,2.85,2.28,3.24,1.88,1.83,0.89,2.57,3.01,3.08,1.3,2.01,3.49,2.48,2.58,0.06,2.39,0.9,1.51,1.38,0.92,1.54,1.03,2.07,2.01,,,
May,,1.19,0.85,2.3,2.91,4.15,2.23,0.8,1.17,1.99,1.69,3.24,5.33,2.1,1.15,1.29,0.12,2.5,1.32,1.05,0.88,2.22,2.76,2.25,0.53,2.65,3.82,1.15,,,
June,,0.03,1.86,0.35,2.85,0,2.48,2.32,2.32,1.19,0.49,1.44,1.41,1.19,0.9,3.01,3.09,1.63,0.62,2.17,0.23,1.24,0.51,1.63,1.65,2.2,3.86,1.75,,,
July,,0.11,3.48,0.56,3.3,3.37,2.24,2.98,2.19,1.48,2.62,3.9,3.81,1.96,0.89,1.8,3.61,1.24,2.17,3.53,3.06,2.22,1.65,2.97,3.03,3.37,1.51,1.17,,,
August,,1.97,3.35,1.97,2.83,4.55,1.36,3.63,2.24,1.5,4.18,4.28,1.32,1.18,3.11,3.86,0.31,1.96,2.9,1.85,0,5.09,3.75,1.38,1.3,1.96,4.7,0.84,,,
September,,0.92,1.46,1.97,6.66,2.67,0.19,6.2,1.1,0.3,2.86,1.43,2.95,2.89,2.58,4.44,3.65,1.68,1.84,0.94,1.83,1.22,2.45,1.7,1.7,2.03,3.85,1.17,,,
October,,0.74,1.06,6.2,5.54,3.9,2.94,1.77,6.83,4.06,2.49,0.54,6.85,2.04,2.06,4.63,0.9,3.38,3.48,6.56,4.27,1.12,3.58,3.59,3.98,3.59,0.93,1.34,,,
November,,2.04,1.44,1.22,2.94,3.27,6.22,3.16,2.96,8.56,5.2,4.64,1.75,0.61,3.39,7.85,3.78,2.38,3.79,5.74,8.22,2.74,1.38,1.58,5.13,0.68,4.48,1.72,,,
December,,1.88,4.09,3.45,3.95,3.85,0.45,4.14,3.21,6.86,3.05,0.48,1.19,0.7,8.97,3.08,1.96,5.1,2.74,1.45,2.53,1.76,3.55,2.33,2.49,4.49,3.23,3.4,,,
Total,,14.98,30.32,29.02,38.42,37.83,27.79,35.75,33.37,29.49,32.74,28.16,32.86,23.34,30.15,39.28,28.93,35.98,23.61,31.91,31.51,29.32,28.35,26.7,24.06,26.53,35.14,26.2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 Gauge moved about 100yrds NE from Burpham House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
