FAREHAM-BURPHAM-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU582061,Long,-1.17347,Lat,50.85187,Elevation,30,ft,,,,,,,,,,,,,
Station no,686,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,3.68,4.08,0.62,4.29,1.39,1.22,3.47,4.79,3.38,,,,,,,,,,
February,,,2.29,1.13,3.94,5.33,4.36,1.32,1.12,2.84,0.27,,,,,,,,,,
March,,,,2.97,4.77,0.9,3.53,2.87,1.05,4.96,2.49,,,,,,,,,,
April,,,0.08,2.7,1.36,1.19,1.03,1.94,2.08,1.8,3.04,,,,,,,,,,
May,,,0.97,2.77,1.65,3.77,1.31,2.23,1.78,0.46,1.62,,,,,,,,,,
June,,,3.2,0.62,1.89,0.98,1.95,2.43,0.96,0.7,2.39,,,,,,,,,,
July,,,2.4,1.42,3.7,3.02,0.81,2.83,2.27,1.09,5.18,,,,,,,,,,
August,,,6.36,2.94,1.88,1.96,2.39,7.6,2.13,3.11,1.01,,,,,,,,,,
September,,,2.37,2.72,1.6,3.69,2.09,1.79,6.3,1.36,1.59,,,,,,,,,,
October,,,3.2,4.68,2.7,4.35,5.14,4.33,1.18,0.7,3.46,,,,,,,,,,
November,,,,3.38,3.55,2.69,3.66,0.99,2.11,2.77,1.82,,,,,,,,,,
December,,,3.46,2.13,9.49,8.24,3.8,1.13,2.57,5.41,2.63,,,,,,,,,,
Total,,,,31.54,37.15,40.41,31.46,30.68,27.02,29.99,28.88,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Burpham House 12 East St,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1912 Mar Nov in brackets,,,,,,,,,,,,,,,,,,,,,
1921 Gauge moved about 100yrds NE to Fareham House,,,,,,,,,,,,,,,,,,,,,
MIDAS has this station as Fareham House,,,,,,,,,,,,,,,,,,,,,
