"FAVERSHAM (BROGDALE FARM)",,,,,,,,,,,,
Grid ref,TR007593,Long,0.877451,Lat,51.297440,,,,,,,
Station no,311/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.62,2.09,2.63,,
February,,,,,,,,2.11,0.02,2.19,,
March,,,,,,,,1.63,2.00,1.73,,
April,,,,,,,,1.67,2.46,0.77,,
May,,,,,,,,2.00,0.98,1.84,,
June,,,,,,,,4.38,1.32,1.02,,
July,,,,,,,,1.69,2.22,2.45,,
August,,,,,,,,3.41,1.21,4.60,,
September,,,,,,,,2.44,0.11,2.18,,
October,,,,,,,,3.86,2.53,6.40,,
November,,,,,,,3.47,1.71,4.30,5.24,,
December,,,,,,,1.89,3.30,5.42,3.62,,
Total,,,,,,,,30.82,24.66,34.67,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,5.36,30.82,24.66,34.67,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
