BRAY,,,,,,,,,,,,
Grid ref,SU907794,Long,-0.694550,Lat,51.506264,,,,,,,
Station no,782/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.02,2.48,2.28,,
February,,,,,,,,3.03,0.09,1.99,,
March,,,,,,,,1.75,2.35,1.23,,
April,,,,,,,,1.27,2.80,0.46,,
May,,,,,,,,1.83,0.61,1.66,,
June,,,,,,,,3.90,0.58,1.35,,
July,,,,,,,,2.11,3.48,3.94,,
August,,,,,,,,3.96,1.77,3.05,,
September,,,,,,,,4.23,0.03,3.26,,
October,,,,,,,,3.60,2.59,6.76,,
November,,,,,,,,2.19,2.08,3.85,,
December,,,,,,,,2.99,3.60,2.45,,
Total,,,,,,,,33.88,22.46,32.28,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.88,22.46,32.28,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
