GREAT GABLE,,,,,,,,,,,,,,,,,,,,
Grid ref,NY210103,Long,-3.2196,Lat,54.4819,Elevation,2925,ft,,,,,,,,,,,,
Station no,RR1365,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,-999,-999,-999,6.51,6.9,,,,,,,,
February,,,,,,,,-999,-999,-999,12.82,,,,,,,,,
March,,,,,,,7.47,-999,-999,-999,-999,,,1.34,,,,,,
April,,,,,,,4.83,-999,2.29,1.86,-999,,4.6,6.84,,,,,,
May,,,,,,,3.13,5.56,2.6,4.37,5.28,19.43,15.8,6.46,,,,,,
June,,,,,,,7.6,6.57,9,3.3,5.84,6.91,6.48,4,,,,,,
July,,,,,,,16.87,3.1,10.32,11.6,9.57,11.35,8,16,,,,,,
August,,,,,,,8.65,7.9,9.79,8.1,10.23,11.22,8,7.7,,,,,,
September,,,,,,,3.32,9.22,5.39,4.1,3.41,4.08,10.58,6.46,,,,,,
October,,,,,,,12.82,10.95,9.71,15,10.96,8.81,5.07,7.11,,,,,,
November,,,,,,,-999,10.86,6.17,-999,,,6.03,3.4,,,,,,
December,,,,,,,-999,7,8.05,-999,,12.53,21.19,0.41,,,,,,
Total,,,,,,,,75.39,,78.41,93.79,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"1846 Nov/Dec bracketed, total = 3.90, but incomplete year so no overall total",,,,,,,,,,,,,,,,,,,,
"1847  Jan-April bracketed, total 14.23",,,,,,,,,,,,,,,,,,,,
"1848 Jan-Mar bracketed, total=21/00",,,,,,,,,,,,,,,,,,,,
"1849 Jan-Mar bracketed, total 17.24; Nov/Dec bracketed, total=12.84",,,,,,,,,,,,,,,,,,,,
"1850 Mar/Apr bracketed, total 9.00; Nov/Dec bracketed, total 20.17",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR Trig point top of Great Gable - 2949',,,,,,,,,,,,,,,,,,,,
