CHURCH-STRETTON-CARDINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO504952,Long,-2.7329528,Lat,52.552371,Elevation,700,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,,,,,3.69,1.86,3.63,2.24,4.85,2.13,1.88,0.28,0.83,2.82,,,,,,,
February,,,,,,,,,,,,,,0.87,2.13,1.93,2.68,2.52,1.38,2.24,2.62,4.44,2.99,,,,,,,
March,,,,,,,,,,,,,,3.5,1.11,1.09,1.22,2.07,0.91,1.11,1.37,2.02,2.17,,,,,,,
April,,,,,,,,,,1.35,,,,0.83,1.09,1.38,2.19,2.49,1.77,3.37,1.91,1.05,2.99,,,,,,,
May,,,,,,,,,,5.87,,,,2.42,2.27,1.92,0.51,2.89,5.86,2.13,2.93,1.48,1.86,,,,,,,
June,,,,,,,,,,0.74,,,,2.65,0.38,3.13,2.04,1.39,4.18,6.03,3.57,3.83,3.9,,,,,,,
July,,,,,,,,,,1.07,,,4.39,2.63,0.84,5.49,3.02,3.91,1.05,2.89,6.09,1.04,3.34,,,,,,,
August,,,,,,,,,,1.32,,,3.17,3.55,3.64,3.3,3.08,5.95,5.4,6.08,0.97,5.36,2.5,,,,,,,
September,,,,,,,,,,5.48,,,2.95,1.59,3.97,3.17,4.49,2.83,2.33,3.69,2.82,1.7,2.1,,,,,,,
October,,,,,,,,,,1.87,,,6.16,2.71,2.77,5.43,3.59,3.1,5.33,0.81,6.28,2.93,5.43,,,,,,,
November,,,,,,,,,,2.22,,,5.43,2.24,3.02,4,3.89,3.67,3.84,1.35,2.59,3.5,4.41,,,,,,,
December,,,,,,,,,,3.71,,,4.72,0.73,2.57,1.7,5.62,2.03,2.73,1.02,4.14,3.05,3.24,,,,,,,
Total,,,,,,,,,,,,,,27.41,25.65,36.17,34.57,37.7,36.91,32.6,35.57,31.23,37.75,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Cardington Vicarage; the observer was Reverend William Elliot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
