DONCASTER-SANDALL-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE601060,Long,-1.0944375,Lat,53.547206,Elevation,41,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3171/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3,1.57,3.79,1.6,2.75,1.64,3.02,2.13,2.09,1.83,2.08,4.1,0.6,1.04,1.54,1.65,0.35,1.21,1.5,3.36,1.21,2.71,1.98,4.45
February,,,,,,,2.42,1.03,0.75,1.79,2.25,0.92,0.58,1.61,1.34,2.21,1.71,0.93,0.74,3.71,2.29,0.41,1.57,1.93,1.66,0.95,1.75,3.47,0.07,1.68
March,,,,,,,1.82,0.27,1.61,1.55,3.13,2.15,0.48,0.46,0.42,0.99,4.07,0.54,1.16,0.88,2.27,1.94,0.59,1.43,2.31,1.14,1.06,1.77,0.83,1.44
April,,,,,,,2.98,0.09,1.28,1.72,1.29,0.69,0.95,2,1.48,1.06,1.91,1.11,2.03,2.93,0.59,0.67,1.84,0.26,0.74,1.79,0.21,0.26,2.64,0.68
May,,,,,,,3.12,2.71,1.68,0.52,1.4,2.57,2.02,2.08,1.57,1.85,1.34,1.62,1.63,2.18,4,1.5,1.51,3.7,3.13,0.23,1.07,1.89,0.4,0.71
June,,,,,,,3.35,1.86,1.78,0.65,0.37,1.14,1.09,2.24,2.22,2.28,2.97,2.3,0.34,1.08,0.95,1.83,1.25,1.85,2.34,3.77,1.55,4.22,1.19,0.43
July,,,,,,,2.64,2.52,3.05,4.79,2.6,1.3,0.92,1.86,1.58,4.76,1.18,0.91,3.3,1.84,1.27,1.3,2.73,1.62,0.67,3.69,5.07,4.49,1.6,2.38
August,,,,,,,0.08,2.08,1.55,0.54,2.19,2.93,2.01,3.17,1.81,4.43,0.55,3.1,1.67,2.44,4.06,1,2.59,4.47,0.63,5.95,4.28,1.98,0.28,3.33
September,,,,,,,1.12,1.57,1.38,0.79,0.33,1.52,2.93,3.62,1.13,2.69,1.28,1.14,0.55,2.63,1.23,2.08,1.59,1.34,0.7,1.66,3.37,1.45,0.01,2.63
October,,,,,,,3,2.51,2.55,3.43,2.24,2.24,1.5,2.16,3.04,1.06,0.68,1.59,3.33,0.66,1.2,2.62,1.88,2.7,1.45,1.19,1.07,1.27,1.65,5.82
November,,,,,,,1.33,1.99,3.42,4.43,2.91,1.31,1.35,3.7,0.34,4.83,1.13,0.98,2.85,4.47,5.02,1.6,1.2,4.21,1.77,0.61,2.25,0.8,2.8,3.42
December,,,,,,,3.58,2.98,2.05,2.26,0.49,1.22,0.8,1.56,1.26,2.38,2.17,2.34,1.33,1.12,1.46,1.57,1.04,2.2,2.33,1.83,1.9,2.94,2.6,1.9
Total,,,,,,,28.44,21.18,24.89,24.07,21.95,19.63,17.65,26.59,18.28,30.37,21.07,20.66,19.53,24.98,25.88,18.17,18.14,26.92,19.23,26.17,24.79,27.25,16.05,28.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is Sandall Sewage Works. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIDAS src_id 2887, continues to 1977.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sept 1958 ""Trace"" entered as 0.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
