"ANNAT COTTAGE, PERTHSHIRE",,,,,,,,,,,,,,,,,,,,
Grid ref,NO 224 265,Long,-3.259282,Lat,56.424104,Elevation,170,ft,,,,,,,,,,,,
Station no,5573,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,2.3,1.49,5.5,1,5.17,4.24,3.98,3.96,0.42,3.32,2.2,,
February,,,,,,,,0.9,7.7,1.7,4.2,0.5,2.1,1.34,0.85,1.56,4.01,0.75,,
March,,,,,,,,1.4,4.2,0.65,0.4,4.9,0.35,1.32,1.15,3.61,0.21,3.85,,
April,,,,,,,,2.37,2.9,1.01,2.8,2.26,0.25,1.4,0.5,1.74,2.62,2.6,,
May,,,,,,,,5.9,1.65,3.45,2.3,0.12,1.1,1.4,4.67,1.48,3.23,3,,
June,,,,,,,5.74,4.23,8.6,3,1.6,1.7,3.24,6.3,3.04,2.71,4.48,3.3,,
July,,,,,,,5.7,3.8,3.5,5.9,2.3,3.5,1.35,5.57,3.93,2.7,2.75,2,,
August,,,,,,,4.7,2.3,4.45,2.7,3.8,4.4,4.07,6.35,1.52,6.78,6.42,,,
September,,,,,,,4.8,1,1.4,1.75,2.4,1.25,2.4,2.28,1.58,0.36,5.5,,,
October,,,,,,,6.7,7,5.5,2,1.1,1.8,2.84,7.03,2.69,4.48,2.92,,,
November,,,,,,,2.6,3.8,2.5,2.4,3.85,0.75,4.3,1.92,4.54,1.48,0.86,,,
December,,,,,,,1.2,4.9,3.25,3.5,2.6,0.9,7.2,1.21,2.05,2.27,4.7,,,
Total,,,,,,,,39.9,47.14,33.56,28.35,27.25,33.44,40.1,30.48,29.59,41.02,,,
