BURTON LATIMER RECTORY,,,,,,,,,,,,
Grid ref,SP903751,Long,-0.675218,Lat,52.366521,,,,,,,
Station no,RR7035,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.33,1.18,1.08,2.09,2.00,0.88,3.84,1.05,1.06,0.99,,
February,4.44,0.81,1.47,0.81,2.88,0.62,1.78,1.21,1.05,0.41,,
March,0.69,2.60,1.40,2.79,1.40,2.17,1.56,0.98,2.90,2.51,,
April,0.77,2.61,1.28,1.88,1.11,1.89,0.55,2.50,2.95,1.44,,
May,1.47,1.77,1.99,1.95,1.74,0.85,1.56,4.81,1.28,1.32,,
June,1.66,0.45,2.66,2.45,0.88,2.72,5.40,1.63,1.13,3.02,,
July,0.88,3.80,1.19,2.51,2.44,0.55,0.54,2.71,2.35,2.65,,
August,3.79,1.76,2.41,3.25,2.50,2.30,1.32,1.99,3.16,2.26,,
September,0.40,1.45,1.56,2.65,1.94,1.35,1.01,0.61,1.47,2.34,,
October,1.68,1.45,1.85,5.68,0.69,1.19,4.01,3.57,1.43,3.55,,
November,2.13,0.82,1.44,1.50,1.03,2.51,3.66,2.41,1.04,0.51,,
December,3.56,3.30,1.36,1.05,1.62,0.86,2.43,3.28,1.56,3.83,,
Total,24.80,22.00,19.69,28.61,20.23,17.89,27.66,26.75,21.38,24.83,,
Calc annual,24.80,22.00,19.69,28.61,20.23,17.89,27.66,26.75,21.38,24.83,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
