"BRIDGE OF EARN, KININONTH",,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 15997 19441,Long,-3.361261,Lat,56.359918,Elevation,250,ft,,,,,,,,,,,,,
Station no,5541,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,3.4,5.11,2.73,6.74,1.2,2.46,2.4,2.96,1.18,,1,3.55,2.47,,,
February,,,,,,3.01,4.64,1.26,2.04,1.59,0.98,2.17,0.1,3.25,0.26,1.9,2.79,3.29,,,
March,,,,,,1.57,1.47,2.38,4.19,0.14,2.1,1.01,2.18,1.11,3.04,1.03,1.96,3.26,,,
April,,,,,,2.88,2.09,0.97,0.56,1.05,1.71,2.29,2.78,0.81,3.87,3.71,0.5,1.45,,,
May,,,,,,4.25,1.75,2.24,1.95,2.45,1.4,2.02,3.27,1.73,,0.62,0.26,2.15,,,
June,,,,,,0.46,3,3.06,3.89,1.54,1.59,5.03,0.69,1.54,,2.74,0.81,1.63,,,
July,,,,,,3.05,3.42,3.3,0.73,2.32,2.61,5.82,3.25,2.82,3.27,0.89,3.52,3.55,,,
August,,,,,,2.81,2.2,4.28,4.88,4.58,5.06,2.06,0.63,0.64,3.66,1.88,1.1,3.92,,,
September,,,,,,3.25,3.47,4.48,2.67,0.67,4.73,1.22,1.62,1.46,2.48,4.34,3.03,0.89,,,
October,,,,,,2.53,3.83,5.13,3.54,3.5,3.09,0.81,5.99,3.18,2.88,3.47,1.52,3.98,,,
November,,,,,,0.78,5.18,1.84,2.74,3.38,3.83,5.66,1.15,2.4,0.46,3.39,1.88,0.61,,,
December,,,,,,2.8,0.22,1.72,2.98,4.36,3.42,1.26,5.6,0.88,3.64,1.48,2.74,2.98,,,
Total,,,,,,30.79,36.38,33.39,36.91,26.78,32.98,31.75,30.22,21,,26.45,23.66,30.18,,,
,,,,,,,,,,,,,,,,,,,,,
1934 J MJ estd Deleted,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5541,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,,
