LANGPORT (SANDPITS HILL),,,,,,,,,,,,
Grid ref,ST402260,Long,-2.854132,Lat,51.030239,,,,,,,
Station no,2072/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,-999.00,2.80,3.11,2.15,2.08,3.17,3.04,,
February,,,,-999.00,1.89,0.16,3.63,3.00,0.38,2.62,,
March,,,,-999.00,0.99,0.53,2.00,0.52,3.39,1.86,,
April,,,,-999.00,0.90,1.71,0.10,0.57,2.74,2.34,,
May,,,,-999.00,3.60,0.50,2.00,1.99,0.98,1.20,,
June,,,,-999.00,2.25,1.45,3.34,3.19,0.78,1.04,,
July,,,,-999.00,1.15,2.30,2.58,2.70,1.45,5.02,,
August,,,,-999.00,1.06,3.31,2.72,3.38,0.90,4.46,,
September,,,,2.20,1.17,3.81,2.72,4.85,0.12,4.14,,
October,,,,1.75,1.30,1.72,2.42,1.95,3.60,9.01,,
November,,,,5.82,3.59,0.66,1.99,3.16,4.76,2.77,,
December,,,,2.48,4.60,3.25,2.80,3.57,5.71,3.03,,
Total,,,,-999.00,25.30,22.51,28.45,30.96,27.98,40.53,,
Calc annual,0.00,0.00,0.00,12.25,25.30,22.51,28.45,30.96,27.98,40.53,,
Difference,NaN,NaN,NaN,-1011.25,0.00,0.00,0.00,0.00,0.00,0.00,,
