YEALMPTON-WEST-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,SX579510,Long,-3.99751,Lat,50.342,Elevation,130,ft,,,,,,,,,,,,
Station no,1673/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,4.8,2.49,3.91,0.97,7.02,5.76,6,7.99,2.66,5.31,6.02,8.4,3.77,3.35,4.33,4.35,8.94,,
February,,0,4.27,0.11,4.21,4.53,8.99,1.54,1.97,5.95,5.64,0.26,2.06,1.27,4.42,4.16,1.97,2.03,,
March,,2.4,4.26,4.56,1.34,4.5,4.73,0.48,1.87,3.95,4.27,4.51,1.34,0.29,1.44,2.73,8.76,1.96,,
April,,3.7,3.23,2.96,5.27,2.28,3.99,0.27,2.8,2.96,1.07,1.1,1.3,3.47,0.94,2.03,3.25,1.91,,
May,,3.89,1.94,1.69,2.25,0.73,3.49,2.95,0.77,2.01,3.05,5.83,4.27,0.27,3.82,5.85,2.75,1.95,,
June,,3.6,1.69,2.11,4.64,1.24,0.92,1.44,4.32,0.82,3.88,0.32,1.65,3.15,4.6,3.77,4.63,2.44,,
July,,2.5,3.14,0.36,0.54,7.94,2.09,3.72,7.26,2.38,0.98,1.82,2.67,4.31,2.8,1.92,2.61,1.8,,
August,,2.28,1.8,4.9,2.77,0.6,1.46,4.15,3.69,0.12,6.06,3.88,3.94,3.08,3.25,4.99,1.21,3.94,,
September,,5.7,3.18,3.76,4.97,3.75,2.88,3.3,0.67,2.4,0.48,3.57,5.21,2.32,2.77,7.57,2.55,2.22,,
October,,8.43,3.98,2.99,5.39,1.44,4.22,4.78,6.76,3.6,1.83,3.7,4.37,4.97,5.24,2.61,1.49,4.5,,
November,,2.42,1.97,1.32,7.81,3.45,3.81,9.63,9.01,8.21,2.82,1.04,2.89,8.94,1,8.24,3.26,,,
December,,3.78,2.76,12.92,6.66,4.44,5.34,4.71,3.03,,3.39,5.72,4.94,3.85,7.68,5.9,3.69,,,
Total,,43.5,34.71,41.59,46.82,41.92,47.68,42.97,50.14,,38.78,37.77,43.04,39.69,41.31,54.1,40.52,,,
,,,,,,,,,,,,,,,,,,,,
1940 Dec Value adjusted from the one on the return,,,,,,,,,,,,,,,,,,,,
1944 Feb Part estimated prob for snow,,,,,,,,,,,,,,,,,,,,
1948 Nov 11 Note says gauge moved 220yds NNE to Cross Park House,,,,,,,,,,,,,,,,,,,,
According to a 1970 map Cross Park House was 300yds SE,,,,,,,,,,,,,,,,,,,,
