KILSYTH (KIRKBURN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS701839,Long,-4.086129,Lat,56.030327,Elevation,743,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5350/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.2,6,9,6.15,2.45,2.3,5.73,7.25,6.68,2.56,7.13,5.5,7.88,5.97,4.69,6.28,3.51,2.57,6.33,4.36,4.55,8.88,6.58,2.33,5.48
February,,,,,,3.61,5.41,2.93,7.87,2.14,4.65,3.15,6.32,2.27,9,3.99,2.5,6.09,5.05,5.88,3.25,0.83,2.32,5.52,4.22,1.79,4.46,2.67,2.74,4.77
March,,,,,,4.61,2.12,3.92,4.64,5.77,2.59,4.12,3.45,0.72,5.1,4.54,5.6,6.31,1.98,4.07,3.52,5.22,1.78,4.38,2.38,3.12,7.28,2.65,4.04,2.86
April,,,,,,2,3,0.7,3.25,4.02,2.82,6.2,3.46,3.75,3.14,1.79,8.13,4.19,6.64,4.04,4.3,2.33,2.55,2.67,3.52,1.58,3.82,1.98,4.42,4.95
May,,,,,,1.25,2.61,5.65,1.27,1.17,3.88,3.32,4.55,4.24,6.12,2.37,4.21,2.74,2.92,2.02,2.38,2.53,3.99,5.24,5.19,3.35,3.58,4.44,1.46,3.43
June,,,,,,2.36,3.94,7.32,3.25,0.87,1.8,1.85,4.69,4.18,4.94,4.27,5.46,6.82,1.51,2.07,3.49,4.59,2.45,4.36,2.72,4.13,2.12,4.21,3.42,3.35
July,,,,,,6.98,4.04,5.31,6.48,4.04,3.82,2.72,2.87,3.56,3.89,5.02,4.09,5.84,2.47,7.15,4.68,2.57,7.68,2.81,1.78,7.49,5.37,6.02,6.45,5.03
August,,,,,,3.6,4.14,2.95,2.15,2.2,5.25,7.11,8.88,4.04,2.57,4.91,0,10.2,5.52,6.64,7.67,4.95,3.66,6.2,1.41,6.86,5.26,6.85,1.52,4.81
September,,,,,,4.72,4.48,6.58,2.5,3.32,2.13,7.18,3.47,5.25,6.2,7.93,5.8,7.55,2.71,11.06,5.15,3.53,6.16,8.39,4.65,6.52,3.83,4.7,1.4,3.5
October,,,,,,5.62,4.8,10.31,3.46,6.61,5.42,6.25,10.72,5.56,8.51,0.77,3.05,7.97,8.02,4.71,1.27,4.47,3.11,11.12,4.55,5.17,6.42,5.47,5.65,5.62
November,,,,,,4.92,0.89,10.23,10.52,7.26,3.52,1.14,3.34,9.64,0.77,8.6,8.2,5.09,4.68,4.57,8.1,2.49,8.73,10.64,2.69,1.37,2.49,2.38,8.16,7.52
December,,,,,,6.52,3.18,4.65,3.1,4.36,3.62,5.75,2.7,6.43,4.4,5.98,2.58,7.37,10.02,2.27,8.71,5.58,6.64,8.21,9.72,6.84,8.26,7.52,10.51,6.84
Total,,,,,,51.39,44.61,69.55,54.64,44.21,41.8,54.52,61.7,56.32,57.2,57.3,55.12,78.05,57.49,59.17,58.8,42.6,51.64,75.87,47.19,52.77,61.77,55.47,52.1,58.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 Turf wall built,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5350/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,896032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
