PERSHORE (THREE SPRINGS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO937452,Long,-2.093396,Lat,52.105095,Elevation,76,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2429/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.1,1.92,2.07,0.73,2.91,2.84,2.67,4.35,2.66,2.34,2.07,4.37,2.01,0.91,1.7,1.34,4.03,1.24,0.37,2.08,1.98,0.68,0.9,,,,,,
February,,0.15,2.43,0.41,1.74,1.94,3.48,0.57,0.88,2.2,2.27,0.89,1.62,0.85,1.52,1.12,0.76,0.92,0.78,3.96,2.96,0.63,1.18,2.16,,,,,,
March,,1.4,2.2,1.6,0.62,1.73,2.61,0.15,1.51,1.56,1.7,1.86,1.2,0.26,0.79,1.08,4.07,0.97,1.48,1.04,3.6,1.85,0.83,1.96,,,,,,
April,,2.41,0.92,2.25,3.86,2.24,1.84,0.18,2.28,2.74,0.94,1.21,0.84,1.18,0.86,2.24,1.53,1.68,2.44,1.79,2.6,2.18,2.41,0.57,,,,,,
May,,6.77,2.01,0.92,1.39,0.95,2.1,1.54,0.98,2.28,1.61,2.8,2.7,0.43,2.87,2.73,1.59,2.67,2.16,1.85,3,2.78,2.16,2.97,,,,,,
June,,1.14,2.7,0.6,2.99,3.98,1.01,1.16,1.71,0.55,2.03,0.02,1.64,2.09,2.11,2.17,1.06,2.47,0.33,1.67,0.85,1.53,1.69,2.58,,,,,,
July,,2.05,1.66,0.36,0.32,5.11,3.65,2.25,5.16,3.05,2.69,1.32,1,2.7,1.96,1.4,2.09,0.79,1.89,2.76,0.91,0.47,5.19,2.34,,,,,,
August,,2.95,0.68,1.83,0.93,0.24,0.47,3.13,1.94,0.33,3.19,2.79,1.09,3.18,2.5,4.18,0.76,3.44,0.97,4.19,4.46,4.21,3.03,3.53,,,,,,
September,,3.62,1.61,2.04,2.87,3.24,3.64,2.03,0.5,0.79,0.7,1.17,1.37,2.52,1.43,2.85,1.71,2.62,1.63,3.32,1.92,0.88,2.22,1.5,,,,,,
October,,3.5,3.51,1.04,3.17,1.62,2.77,2.24,2.97,3.34,2.46,2.45,2.01,3.36,2.85,0.38,0.27,2.7,4.75,0.7,0.98,2.93,1.6,2.68,,,,,,
November,,1.46,0.81,1.67,5.44,2.02,1.59,2.47,3.81,5.57,2.29,1.43,1.47,4.07,0.27,3.93,1.41,1.26,2.14,3.77,6.27,2.6,0.92,4.56,,,,,,
December,,1.08,0.27,4.56,3.5,2.4,1.64,3.08,1.52,1.42,1.35,2.83,1.03,1.66,3.27,1.88,1.8,3.03,1.05,1.36,1.4,2.38,0.95,1.69,,,,,,
Total,,28.63,20.72,19.35,27.56,28.38,27.64,21.47,27.61,26.49,23.57,20.84,20.34,24.31,21.34,25.66,18.39,26.58,20.86,26.78,31.03,24.42,22.86,27.44,,,,,,
