"SKYE STRATHAIRD",,,,,,,,,,,,
Grid ref,NG551178,Long,-6.054499,Lat,57.185396,,,,,,,
Station no,RR4340,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,10.94,5.21,7.76,12.94,10.06,8.24,,,,,,
February,4.22,7.52,3.10,10.80,5.33,5.33,,,,,,
March,3.17,5.11,11.28,10.06,6.76,6.76,,,,,,
April,6.62,4.26,3.04,3.35,8.73,4.20,,,,,,
May,4.99,1.23,6.13,2.58,6.34,6.34,,,,,,
June,3.72,5.42,1.21,2.00,6.88,5.24,,,,,,
July,9.19,3.28,8.25,11.59,7.04,7.26,,,,,,
August,10.57,8.20,11.55,13.04,11.90,11.10,,,,,,
September,11.38,5.54,13.42,7.85,9.23,12.57,,,,,,
October,9.45,14.10,10.08,14.96,7.90,13.05,,,,,,
November,5.73,11.63,11.02,9.65,7.51,6.20,,,,,,
December,13.81,10.03,10.72,5.29,11.17,7.11,,,,,,
Total,93.79,81.53,97.56,104.11,98.85,93.40,,,,,,
Calc annual,93.79,81.53,97.56,104.11,98.85,93.40,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,NaN,NaN,NaN,NaN,,
