Rainfall at,BALMORAL CASTLE GARDENS M.W.R.,
Grid ref,NO253949,Long,-3.232596,Lat,57.039113
Station no,5630,
,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.80,2.67,1.06,2.23,1.36,3.52,3.63,2.59,2.80,5.11,
February,3.98,1.90,1.13,2.17,3.67,2.11,2.97,3.78,0.37,3.91,
March,2.63,2.39,0.50,2.35,1.07,1.68,1.97,3.32,1.48,1.65,
April,3.46,1.02,2.61,1.08,0.46,1.67,1.19,1.73,2.53,2.86,
May,1.50,2.27,2.10,5.44,2.53,0.80,1.77,3.38,1.21,0.87,
June,1.19,2.15,4.18,1.69,0.62,2.46,1.95,3.35,1.77,1.49,
July,3.05,1.72,4.08,2.41,0.77,3.81,4.57,4.91,2.78,2.52,
August,3.68,3.59,1.53,2.92,0.60,4.89,4.15,2.90,1.12,5.70,
September,1.17,1.53,3.20,2.04,1.47,4.52,2.53,3.14,0.91,3.07,
October,1.23,4.69,1.80,4.94,3.38,2.95,1.39,2.16,5.17,8.56,
November,7.22,3.59,2.28,5.40,1.79,1.42,1.91,0.65,6.05,3.79,
December,2.98,4.56,3.31,5.64,5.90,5.09,3.84,5.26,5.19,2.32,
Total,34.89,32.08,27.78,38.31,23.62,34.92,31.87,37.17,31.38,41.85,
Calc annual,34.89,32.08,27.78,38.31,23.62,34.92,31.87,37.17,31.38,41.85,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
