Rainfall at,BALMORAL, CASTLE GARDENS
,
Station no,5630,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,3.69,2.67,4.32,2.77,1.49,3.49,4.20,3.79,5.40,1.24,3.08,
February,2.07,0.32,1.81,7.69,1.99,6.69,1.93,0.87,1.99,1.10,1.74,
March,3.61,2.31,1.97,1.14,0.94,3.01,2.00,2.29,6.12,0.23,1.84,
April,2.72,1.09,3.81,2.21,1.48,2.93,3.00,2.85,1.52,1.85,3.02,
May,2.57,2.20,1.01,4.65,3.81,3.47,1.70,3.21,2.17,2.02,1.44,
June,0.47,0.80,1.03,0.92,1.35,0.56,3.47,3.42,2.88,1.57,1.68,
July,2.77,2.12,3.40,1.83,4.05,3.48,1.96,3.46,2.46,4.58,3.10,
August,3.44,2.88,1.95,4.26,4.24,1.46,1.04,4.40,5.01,2.32,5.46,
September,2.29,1.01,2.06,2.34,4.51,3.54,3.11,4.38,3.55,1.01,5.62,
October,4.64,1.49,1.25,3.71,3.12,2.46,5.87,4.53,4.26,3.15,4.36,
November,2.57,1.98,1.44,3.44,1.99,2.06,5.50,2.77,3.12,3.22,3.91,
December,3.86,3.09,2.82,2.88,4.83,3.95,1.27,2.85,2.49,7.05,3.84,
Total,34.70,21.96,26.87,37.84,33.80,37.10,35.05,38.82,40.97,29.34,39.09,
Calc annual,34.70,21.96,26.87,37.84,33.80,37.10,35.05,38.82,40.97,29.34,39.09,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,
