BALMORAL CASTLE GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO253949,Long,-3.232596,Lat,57.039113,Elevation,927,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,
January,,0.6,2.16,3.42,4.52,2.7,4.21,2.11,2.81,0.87,5.41,1.13,3.19,0.72,4.09,0.5,1.12,3,1.58,3.45,4.49,4.2,2.81,3.61,1.86,1.31,3.71,1.59,1.84,2.14,4.2,1.88,5.26,4.41,2.43,3.22,3.09,2.34,3.18,3.23,3.69,2.67,4.32,2.77,1.49,3.49,4.2,3.79,5.4,1.24,3.08,3.29,4.16,3.06,2.5,2.23,4.25,11.8,4.62,3.5,1.31,4.17,3.54,3.22,2.48,5.67,2.74,3.38,3.71,2.07,1.61,2.8,2.67,1.06,2.23,1.36,3.52,3.63,2.59,2.8,5.11,,,,,,,,,,,,,,,,,,,,
February,,2.1,1.4,5.91,4.95,3.43,0.82,1.09,1.45,2.62,1.2,0.3,2.02,2.96,5.52,3.35,0.52,2.72,3.84,2.75,1.8,1.8,1.35,5.15,3.75,2.46,2.39,1.71,2.8,1.23,3.19,2,2.55,1.29,3.59,4.8,3.7,0.59,2.74,1.45,2.07,0.32,1.81,7.69,1.99,6.69,1.93,0.87,1.99,1.1,1.74,1.39,0.41,2.9,1.08,2.81,2.3,3.01,1.36,2.76,1.2,2.69,1.47,1.99,2.06,1.29,1.99,2.42,3.03,1.4,2.95,3.98,1.9,1.13,2.17,3.67,2.11,2.97,3.78,0.37,3.91,,,,,,,,,,,,,,,,,,,,
March,,1.5,3.11,4.46,3.08,1.75,2.72,2.34,3.51,1.33,2.68,2.63,0.7,1.02,2,4.07,1.76,5.49,1.55,2.75,5.67,2.78,2.05,3.9,1.51,3.77,2.35,1.17,4.1,6.3,2.49,2.07,2.51,5.45,3.76,1.85,3.38,2.49,0.96,3.25,3.61,2.31,1.97,1.14,0.94,3.01,2,2.29,6.12,0.23,1.84,1.33,2.42,1.1,2.84,1.65,1.3,5.31,0.47,2.68,2.26,0.95,1.47,1.07,0.81,0.61,1.31,3.32,1.99,1.55,1.97,2.63,2.39,0.5,2.35,1.07,1.68,1.97,3.32,1.48,1.65,,,,,,,,,,,,,,,,,,,,
April,,1,3.31,1.62,1.66,2.71,1.39,1.83,1.57,4.86,1.8,1.19,0.13,0.97,1.28,0.88,0.72,2.08,4.2,3.98,1.64,1.24,3.57,2.53,2.1,3.13,1.91,4.18,2.56,3.14,3.16,2.42,1.02,2.62,0.88,1.86,2.49,1.85,0.86,3.28,2.72,1.09,3.81,2.21,1.48,2.93,3,2.85,1.52,1.85,3.02,3.17,4.07,2.01,5.11,5.14,1.25,0.96,0.4,1.21,1.62,1.59,1.4,1.66,1.03,1.38,0.62,3.91,1.55,1.83,3.4,3.46,1.02,2.61,1.08,0.46,1.67,1.19,1.73,2.53,2.86,,,,,,,,,,,,,,,,,,,,
May,,1.9,2.55,1.2,1.69,4.06,5.84,1.06,1.36,0.9,1.84,2.82,1.9,1.19,4.17,0.75,0.75,2.51,2.21,2.61,2.3,2.18,3.96,1.61,2.1,1.6,5.58,4.41,1.42,2.25,1.21,1.84,1.82,3.58,2.71,1.25,2.59,2.19,2.11,1.34,2.57,2.2,1.01,4.65,3.81,3.47,1.7,3.21,2.17,2.02,1.44,3.16,4.4,1.19,3.48,1.41,1.64,1.73,2.44,0.95,1.11,2.79,3.21,3.58,3.03,3.75,2.2,3.06,3.46,1.88,1.22,1.5,2.27,2.1,5.44,2.53,0.8,1.77,3.38,1.21,0.87,,,,,,,,,,,,,,,,,,,,
June,,2.2,4.04,2.12,0.5,1.09,0.63,0.55,2.28,0.65,1.57,0.52,1.49,1.97,0.88,2.95,3.28,3.94,0.99,0.99,2.33,2.66,1.91,1.82,0.77,1.07,0.57,3.1,0.82,1.67,1.41,1.26,2.17,1.79,2.12,1.43,3.05,3.42,1.02,2.03,0.47,0.8,1.03,0.92,1.35,0.56,3.47,3.42,2.88,1.57,1.68,3.02,0.88,1.41,1.69,3.01,1.1,0.73,3.29,1.8,0.36,0.27,1.3,1.4,2.38,2.47,2.49,2,5.34,1.21,0.82,1.19,2.15,4.18,1.69,0.62,2.46,1.95,3.35,1.77,1.49,,,,,,,,,,,,,,,,,,,,
July,,2.6,4.07,5.11,3.12,1.26,2.62,1.63,4.39,1.99,2.59,4.38,2.37,1.44,4.15,3.27,3.6,1.72,0.76,2.73,3.37,1.42,2.36,3.26,1.38,1.11,1.19,1.58,1.83,3.04,4.08,1.23,2.14,1.03,3.02,3.48,3.77,2.02,5.52,0.34,2.77,2.12,3.4,1.83,4.05,3.48,1.96,3.46,2.46,4.58,3.1,3.76,3.24,3.05,3.79,0.63,3.44,3.32,4.72,4.7,6.42,3.18,1.74,1.25,1.87,1.76,4.55,2.46,2.53,1.71,2.92,3.05,1.72,4.08,2.41,0.77,3.81,4.57,4.91,2.78,2.52,,,,,,,,,,,,,,,,,,,,
August,,4.4,1.8,3.96,1.8,3.24,1.14,2.04,1.54,7.62,3.29,4.15,4.02,2.21,5.66,3.98,1.39,2.72,3.06,1.13,4.4,3.13,2.94,3.35,3.33,3.37,2.68,2.99,2.15,1.73,4.67,0.92,4.56,1.1,2.39,3.17,3.71,4.98,2,1.35,3.44,2.88,1.95,4.26,4.24,1.46,1.04,4.4,5.01,2.32,5.46,3.82,0.91,0.87,4.11,2.14,1.19,1.74,1.36,2.82,1.78,3.27,2.35,3.09,2.06,3.18,5.14,0.81,5.73,3.37,2.81,3.68,3.59,1.53,2.92,0.6,4.89,4.15,2.9,1.12,5.7,,,,,,,,,,,,,,,,,,,,
September,,2.3,2.88,4.11,1.96,4.46,2.64,3.37,1.25,0.78,2.78,3.7,2.97,3.7,0.94,1.45,3.72,1.26,2.42,5.76,1.85,1.83,1.64,3.76,1.75,1.77,1.4,0.95,3.01,1.44,1.05,0.42,3.11,3.06,1.15,3.42,1.57,1.48,4.59,3.5,2.29,1.01,2.06,2.34,4.51,3.54,3.11,4.38,3.55,1.01,5.62,1.56,2.62,2.3,2.11,3.64,2.93,0.99,2.81,2.3,1.13,1.34,2.81,3.06,4.21,3.49,4.57,2.6,1.8,1.87,5.97,1.17,1.53,3.2,2.04,1.47,4.52,2.53,3.14,0.91,3.07,,,,,,,,,,,,,,,,,,,,
October,,5.9,2.39,2.73,4.23,3.06,4.91,2.11,3.16,3.2,3.88,3.66,5.67,2.48,2.87,3.63,5.42,2.42,6.58,2.12,2.71,2.4,3.19,5.78,0.61,3.99,5.51,5.32,1.61,4.2,3.11,2.63,5.41,1.96,2.14,4.93,6.13,3.85,3.03,2.76,4.64,1.49,1.25,3.71,3.12,2.46,5.87,4.53,4.26,3.15,4.36,2.29,8.22,7.14,4.38,5.59,2.6,3.05,4.21,6.38,4.32,3.76,3.82,3.3,4.45,3.49,0.27,2,1.9,3.14,0.84,1.23,4.69,1.8,4.94,3.38,2.95,1.39,2.16,5.17,8.56,,,,,,,,,,,,,,,,,,,,
