MARLOW BOTTOM (BADGEBURY),,,,,,,,,,,,
Grid ref,SU843893,Long,-0.784371,Lat,51.596248,,,,,,,
Station no,998/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.18,,
February,,,,,,,,,,2.98,,
March,,,,,,,,,,1.09,,
April,,,,,,,,,,0.67,,
May,,,,,,,,,,1.82,,
June,,,,,,,,,,2.04,,
July,,,,,,,,,,3.76,,
August,,,,,,,,,,3.34,,
September,,,,,,,,,,4.65,,
October,,,,,,,,,,7.15,,
November,,,,,,,,,,4.26,,
December,,,,,,,,,,3.81,,
Total,,,,,,,,,,38.75,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.75,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
