WASHINGTON-VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ118128,Long,-0.411377,Lat,50.903859,Elevation,251,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,0.64,2.78,3.43,0.75,0.92,2.82,4.77,1.28,4.49,0.68,1.59,0.72,3.05,1.17,3.02,4.94,0.46,4.54,2.91,1.32,3.9,6.98,3.89,3.29,4.43,1.71,2.62,3.74,4.2,2.68,7.34,1.58,5.04,2.98,3.98,3.72,3.61,0.9,,,,,
February,,,,,,,,,1.23,2.47,4.88,1.8,1.25,1.05,2.79,0.43,2.75,1.3,1.15,0.27,3.81,1.13,2.91,1.36,5.09,4.15,4.71,1.15,1.21,2.58,0.61,0.73,3.28,5.34,0.42,4.28,3.61,4.74,1.79,1.87,1.19,2.5,0.21,3.31,0.07,4.56,,,,,
March,,,,,,,,,0.68,0.82,0.93,1.49,1.96,2.55,0.95,3.36,0.95,0.56,1.88,3.31,1.17,1.49,4.78,3.07,5.01,0.79,3.75,1.75,1.19,4.85,1.93,1.58,2.01,2.96,1.85,0.52,0.59,4.54,2.94,0.07,2.33,0.77,1.68,3.35,3.23,0.53,,,,,
April,,,,,,,,,1.2,2.08,1.23,2.49,0.83,1.76,1.29,1.41,0.59,3.17,1.94,1.42,2.22,1.44,0.02,2.9,2.05,1.05,0.99,2.14,2.53,2,2.97,0.68,3.57,2.9,3,2.64,3.34,2.14,3.29,0.75,2.28,3.38,2.98,1.05,4.18,5.08,,,,,
May,,,,,,,,,3.32,1.12,0.74,1.25,1.64,1.96,2.31,0.49,1.83,2.01,1.89,1.55,2.05,0.97,1.06,2.48,1,3.39,2.64,1.68,1.58,0.23,1.23,1.87,0.81,2.96,3.66,3.72,2.98,1.04,1.26,3.4,2.04,3.58,4.14,2.21,0.59,2.41,,,,,
June,,,,,,,,,2.43,1.09,2.4,2.26,2.86,2.49,1.17,3.84,1.12,1.92,1.11,2.65,2.62,1.65,3.09,1.26,0.94,0.45,3.37,2.94,1.35,1.22,1.49,0.05,1.22,0.35,2.77,0.05,3.78,4.2,2.67,2.45,0.72,1.41,1.88,1.97,1.17,3.31,,,,,
July,,,,,,,,,0.47,1.31,1.04,2.22,0.98,3.04,0.74,0.28,0.5,0.58,2.63,2.64,2.69,0.27,1.73,2.13,1.5,3.74,0.76,4.82,4.26,1.5,4.78,0.35,3.22,1.32,3.86,3.57,1.75,3.03,1.73,1.59,2.8,3.98,3.42,2.12,1.89,0.92,,,,,
August,,,,,,,,,1.34,0.58,2.58,0.82,4.76,4.51,2.12,2.52,1.21,1.16,3.36,2.65,2.62,0.85,6.23,1.6,1.72,1.81,1.7,5.75,1.59,3.25,1.43,1.47,2.21,2.31,3.33,2.63,1.71,5.23,2.35,3.06,4.52,3.96,0.33,1.71,3.95,4.8,,,,,
September,,,,,,,,2.33,0.88,4.69,0.96,1.99,0.6,2.82,1.91,1.71,1.07,0.5,1.18,2.61,0.08,1.79,3.28,3.32,1.55,2.37,1.83,1.48,6.31,1.75,3.91,1.02,2.35,2.03,3.48,2.16,0.37,6.6,0.69,0.61,3.67,2.17,3.24,4.06,2.7,6.5,,,,,
October,,,,,,,,0.57,3.74,1.41,2.68,3.95,2.79,7.83,2.16,1.35,4.4,5.34,1.17,6.65,3,4.43,3.9,4.8,1.97,3.42,5.05,4.87,1.77,0.4,2.55,1.79,0.73,6,4.18,3.46,3,3.73,9.06,5.47,2.68,0.57,8.86,1.91,2.96,5.92,,,,,
November,,,,,,,,1.44,3.79,5.5,3.42,0.3,3.51,1.54,1.27,4.86,5.8,2.66,0.89,0.81,4.34,6.19,2.13,4.21,2.71,3.62,4.67,1.37,1.93,2.01,2.54,2.19,2.42,1.84,2.38,2.92,7.82,3.65,4.38,10.06,6.58,5.14,2.38,1.28,5,8.98,,,,,
December,,,,,,,,4.5,2.69,1.49,3.3,4.33,1.96,2.05,2.28,1.04,1.6,2.92,3.68,5.07,3.57,6.85,3.92,1.53,8.79,8.28,4.76,1.74,2.77,5.76,3.27,2.12,3.74,3.02,5.05,4.58,0.31,5,4.77,8.1,4.56,1.46,1.39,1.26,11.64,6.09,,,,,
Total,,,,,,,,,22.41,25.34,27.59,23.65,24.06,34.42,23.76,22.57,26.31,22.8,22.47,30.35,31.22,28.23,36.07,33.6,32.79,37.61,37.14,31.01,30.39,32.53,30.6,17.14,29.99,32.74,36.6,34.27,33.46,46.58,42.27,39.01,38.41,31.9,34.49,27.95,40.99,50,,,,,
