CRATHES WOODBANK COTTAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,NO754966,Long,-2.407223,Lat,57.059789,Elevation,165,ft,,,,,,,,,,,,
Station no,RR8261,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,4.9,1.61,4.93,2.4,0.63,2.4,1.88,1.52,1.46,1.75,1.67,6.08,6.6,,,,,,
February,,2.82,1.23,3.63,5.41,1.85,2.45,2.17,0.95,0.79,3.5,0.89,2.9,0.9,,,,,,
March,,3.1,1.18,3.43,3.21,3.13,1.71,0.84,4.08,6.4,1.78,1.92,2.48,4.41,,,,,,
April,,2.41,3.35,3.04,1.5,2.5,2.2,1.83,2.02,3,3.64,1.39,0.47,2.76,,,,,,
May,,2.1,3.7,2.27,2.56,0.92,5.62,4.81,1.55,2.54,2.69,2.51,1.94,5.75,,,,,,
June,,1.7,2.69,1.59,0.76,0.54,0.68,4.2,1.23,1.35,0.65,1.77,2.04,1.42,,,,,,
July,4.18,1.68,3.25,4.79,1.48,1.82,1.55,1.61,2.03,5.31,2.14,1.77,1.57,2.09,,,,,,
August,4.51,2.24,2.4,4.14,2.74,2.45,3.28,2.18,2.53,2.25,4.92,1.19,5.69,1.45,,,,,,
September,1.75,1.69,1.31,3,2.06,2.14,0.6,0.87,3.11,1.63,0.89,0.64,2.64,3.83,,,,,,
October,3.23,3.17,2.03,6.66,0.62,3.88,5.97,5.56,2.85,2.75,2.19,2.03,5.27,1.32,,,,,,
November,5.53,2.15,4.86,2.44,1.3,9.34,5.23,2.44,1.07,1.78,5.25,4.86,2.52,0.88,,,,,,
December,3.61,3.06,5.29,4.39,2.09,1.07,3.49,3.58,3.02,4.04,5.15,8,1.09,1.54,,,,,,
Total,,31.02,32.9,44.31,26.13,30.27,35.18,31.97,25.96,33.3,34.55,28.64,34.69,32.95,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8261,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,
