CRATHES WOODBANK COTTAGE,,,,,,,,,,,,
Grid ref,NO754966,Long,-2.407223,Lat,57.059789,,,,,,,
Station no,RR8261,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,4.90,1.61,4.93,2.40,0.63,2.40,1.88,1.52,1.46,,
February,,2.82,1.23,3.63,5.41,1.85,2.45,2.17,0.95,0.79,,
March,,3.10,1.18,3.43,3.21,3.13,1.71,0.84,4.08,6.40,,
April,,2.41,3.35,3.04,1.50,2.50,2.20,1.83,2.02,3.00,,
May,,2.10,3.70,2.27,2.56,0.92,5.62,4.81,1.55,2.54,,
June,,1.70,2.69,1.59,0.76,0.54,0.68,4.20,1.23,1.35,,
July,4.18,1.68,3.25,4.79,1.48,1.82,1.55,1.61,2.03,5.31,,
August,4.51,2.24,2.40,4.14,2.74,2.45,3.28,2.18,2.53,2.25,,
September,1.75,1.69,1.31,3.00,2.06,2.14,0.60,0.87,3.11,1.63,,
October,3.23,3.17,2.03,6.66,0.62,3.88,5.97,5.56,2.85,2.75,,
November,5.53,2.15,4.86,2.44,1.30,9.34,5.23,2.44,1.07,1.78,,
December,3.61,3.06,5.29,4.39,2.09,1.07,3.49,3.58,3.02,4.04,,
Total,,31.02,32.90,44.31,26.13,30.27,35.18,31.97,25.96,33.30,,
Calc annual,22.81,31.02,32.90,44.31,26.13,30.27,35.18,31.97,25.96,33.30,,
Difference,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
