GRANGE KENTS BANK HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD396756,Long,-2.9256,Lat,54.1733,Elevation,31,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,7.28,4.09,,,,,,,,,,,3.09,6.36,2.8,4.18,,,,,,,
February,,,,,,,,3.54,2.24,,,,,,,,,,,2.68,0.79,0.34,1.66,,,,,,,
March,,,,,,,,3.33,1.77,,,,,,,,,,,2.6,4.39,1.71,1.26,,,,,,,
April,,,,,,,,2.31,2.2,,,,,,,,,,,2.77,1.98,1.9,1.91,,,,,,,
May,,,,,,,,2.67,4.02,,,,,,,,,,,3.35,2.86,1.73,5.04,,,,,,,
June,,,,,,,,2.23,4.38,,,,,,,,,,,0.79,3.34,1.09,2.62,,,,,,,
July,,,,,,,,3.95,0.36,,,,,,,,,,,3.24,3.9,2.57,1.55,,,,,,,
August,,,,,,,,5.67,6.43,,,,,,,,,,3.08,5.71,5.43,9.05,7.77,,,,,,,
September,,,,,,,,3.32,4.81,,,,,,,,,,1.5,2.73,4.66,6.18,7.56,,,,,,,
October,,,,,,,,6.74,3.74,,,,,,,,,,4.79,4.73,3.06,3.97,4.63,,,,,,,
November,,,,,,,,7.4,2.65,,,,,,,,,,5.05,2.45,6.41,5.2,3.6,,,,,,,
December,,,,,,,,5.34,2.45,,,,,,,,,,3.41,3.95,0.63,7.33,3.19,,,,,,,
Total,,,,,,,,53.78,39.14,,,,,,,,,,,38.09,43.81,43.87,44.97,,,,,,,
