AVIEMORE H.R.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH896123,Long,-3.828288,Lat,57.188169,Elevation,710,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,2.68,3.14,3.51,2.17,1.53,2.57,2.42,,1.43,0.33,3.19,2.41,4.95,1.77,3.3,1.45,2.31,1.13,4.69,2.12,5.89,2.89,4.49,3.83,2.31,1.72,2.37,0.3,2.28,,,,,,,,,,,,,,,,,,,
February,,,0.71,0.57,1.25,0.63,2.25,3.5,0.72,1.16,2.41,1.54,1.68,1.74,2.17,2.94,1.57,2.67,1.52,4.5,0.45,1.05,1.53,3.87,6.45,0.93,1.01,1.56,3.97,0.4,1.15,,,,,,,,,,,,,,,,,,,
March,,,0.94,1.11,3.22,1.44,4.01,2.09,2.61,2.49,1.34,1.35,3.69,2.07,2.46,1.75,1.29,2.28,2.14,1.09,3.24,3.29,1.54,0.97,2.6,3.05,3,2.12,2.05,8.9,1.3,,,,,,,,,,,,,,,,,,,
April,,,1.57,1.61,1.24,0.84,2.06,1.49,0.74,0.89,1.97,1.2,2.51,0.52,1,0.69,1.29,1.2,1.67,1.49,1.45,0.8,0.83,1.16,0.78,1.69,1.96,1.44,1.63,2.06,2.69,,,,,,,,,,,,,,,,,,,
May,,,4.27,3.07,2.41,1.55,0.87,1.68,2.58,3.38,0.77,1.89,2.38,2.47,2.22,3.85,4.82,1.97,1.6,0.59,1.22,2.9,1.71,0.96,3.03,1.49,0.99,2.09,1.9,2.95,0.97,,,,,,,,,,,,,,,,,,,
June,,,4.32,2,1.25,2.58,2.29,4.99,1.42,3.21,5.7,1.58,3.82,1.45,0.93,0.89,0.94,0.68,2.45,0.64,2.31,0.47,1.73,2.55,1.68,2.73,3.35,3.93,1.26,0.7,2.69,,,,,,,,,,,1.38,,,,,,,,
July,,,2.63,3.21,2.41,5.72,1.69,2.44,0.69,3.12,4.42,2.98,4.04,4.63,3.89,0.79,2.22,2.21,4.04,2.1,3.32,3.72,2.73,1.59,2.96,2.85,3.09,1.38,1.43,2.9,4.11,,,,,,,,,,,1.2,,,,,,,,
August,,,3.83,2.38,5.01,4.26,1.39,4.68,5.47,3.25,0.32,2.88,2.31,5.78,3.85,2.42,1.77,1.99,1.91,5.31,2.89,3.92,4.35,3.88,4.84,3.42,1.95,3.03,1.78,0.78,4.15,,,,,,,,,,,,,,,,,,,
September,,,6.66,4.99,2.71,4.13,3.27,2.03,4.34,1.89,1.72,1.71,4.09,3.7,1.5,3.99,2.45,2.58,1.12,1.14,1.77,2.78,3.79,3.72,0.98,2.25,4.38,2.91,3.89,5.16,1.79,,,,,,,,,,,1.23,,,,,,,,
October,,,5.08,2.35,4.54,2.36,2.46,3.18,3.47,1.75,3.01,3.54,1.15,3.66,4.73,2.54,1.95,2.64,3.92,2.31,4.27,1.51,5.55,3.48,1.62,3.8,5.12,1.5,1.81,1.19,4.66,,,,,,,,,,,2.6,,,,,,,,
November,,,4.06,3.23,2.04,3.01,1.41,4.51,4.49,2.27,3.64,3.83,3.57,3.49,3.86,1.77,4.03,2.84,4.29,2.15,3.2,1.09,2.02,3.25,1.31,2.68,1.02,2.25,2.26,4.75,2.68,,,,,,,,,,,6.15,,,,,,,,
December,,,1.75,3.77,1.07,3.94,2.7,3.57,,1.81,1.94,1.85,2.45,2.4,4.17,2.12,3.59,1.83,0.87,2.05,1.09,3.91,2.34,3.51,3.25,3.36,3.25,5.41,3.86,1.2,2.31,,,,,,,,,,,2.18,,,,,,,,
Total,,,38.5,31.43,30.66,32.63,25.93,36.73,,,28.67,24.68,34.88,34.32,35.73,25.52,29.22,24.34,27.84,24.5,29.9,27.56,34.01,31.83,33.99,32.08,31.43,29.34,28.21,31.29,30.78,,,,,,,,,,,,,,,,,,,
