"AVIEMORE H.R.S",,,,,,,,,,,,
Grid ref,NH896123,Long,-3.828288,Lat,57.188169,,,,,,,
Station no,RR1092,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.28,,,,,,,,,,,
February,1.15,,,,,,,,,,,
March,1.30,,,,,,,,,,,
April,2.69,,,,,,,,,,,
May,0.97,,,,,,,,,,,
June,2.69,,,,,,,,,,,
July,4.11,,,,,,,,,,,
August,4.15,,,,,,,,,,,
September,1.79,,,,,,,,,,,
October,4.66,,,,,,,,,,,
November,2.68,,,,,,,,,,,
December,2.31,,,,,,,,,,,
Total,30.78,,,,,,,,,,,
Calc annual,30.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
