"HASTINGS (FAIRLIGHT, MACHICO)",,,,,,,,,,,,
Grid ref,TQ878122,Long,0.668170,Lat,50.878774,,,,,,,
Station no,552/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.04,3.03,1.00,1.38,4.48,5.82,2.05,4.03,3.77,3.47,,
February,6.08,1.66,1.49,2.72,1.90,0.82,4.54,2.96,0.06,2.13,,
March,3.26,2.58,0.33,3.13,1.20,0.30,1.49,1.23,1.81,2.11,,
April,1.86,1.06,2.05,0.33,0.31,1.50,0.30,1.33,2.00,1.07,,
May,1.43,2.05,1.16,1.68,3.96,0.52,1.25,1.96,0.83,2.65,,
June,0.84,0.92,2.03,2.89,1.60,2.43,1.24,3.66,0.79,1.62,,
July,1.80,0.73,2.35,3.76,1.28,2.33,4.29,2.33,1.06,2.65,,
August,4.65,4.00,2.99,3.52,1.98,3.82,1.91,4.24,0.80,4.45,,
September,3.69,4.51,4.01,3.10,2.35,2.31,3.52,3.19,0.14,2.41,,
October,2.95,2.85,2.16,2.55,4.22,1.84,1.73,4.11,3.77,6.74,,
November,5.48,3.48,1.94,5.52,1.50,0.65,3.39,2.04,6.83,7.35,,
December,2.76,3.80,0.77,1.86,3.71,3.76,1.70,4.60,7.27,5.04,,
Total,38.84,30.67,22.28,32.44,28.49,26.10,27.41,35.68,29.13,41.69,,
Calc annual,38.84,30.67,22.28,32.44,28.49,26.10,27.41,35.68,29.13,41.69,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,,
