"NEWCASTLE CLIFTON ROAD",,,,,,,,,,,,
Grid ref,NZ225640,Long,-1.650067,Lat,54.970117,,,,,,,
Station no,RR2678,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.06,1.33,0.77,,1.67,0.26,1.85,,,,,
February,5.25,1.05,1.05,,2.35,0.69,0.82,,,,,
March,1.43,1.36,0.76,,1.28,1.02,1.04,,,,,
April,1.22,1.02,1.27,,0.50,2.56,1.34,,,,,
May,1.28,2.08,2.08,,2.26,0.40,3.82,,,,,
June,5.12,1.12,1.79,,1.79,1.27,1.32,,,,,
July,1.49,3.61,2.81,,1.53,1.75,1.79,,,,,
August,6.08,1.82,2.52,,2.08,2.09,2.68,,,,,
September,0.82,0.87,0.42,,1.00,1.48,0.44,,,,,
October,5.65,1.92,2.37,,0.64,1.67,3.47,,,,,
November,2.92,4.49,1.19,,2.45,5.03,2.65,,,,,
December,1.75,2.93,3.02,,1.49,0.35,2.24,,,,,
Total,36.07,23.60,20.05,,19.04,18.57,23.46,,,,,
Calc annual,36.07,23.60,20.05,0.00,19.04,18.57,23.46,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,0.00,-0.00,0.00,NaN,NaN,NaN,,
