"NEWCASTLE CLIFTON ROAD - 8"" gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ225640,Long,-1.650067,Lat,54.970117,Elevation,314,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,1.2,0.59,1.73,2.7,1.36,3.91,1.4,1.38,0.76,1.86,0.72,1.48,1.7,1.61,4.8,1.15,1.85,0.98,2.23,3.06,1.33,0.77,,1.67,0.26,1.85,,,
February,,3.26,1.08,1.38,0.97,0.73,1.09,0.32,1.04,0.72,1.57,0.03,2.76,2.94,2.96,1.01,0.62,1.55,0.92,0.77,5.25,1.05,1.05,,2.35,0.69,0.82,,,
March,,2.61,1.41,1.64,2.02,1.56,2.8,1.46,5.49,2.3,2.04,3.01,1.09,0.54,0.55,1.99,2.26,2.65,1.55,1.01,1.43,1.36,0.76,,1.28,1.02,1.04,,,
April,,1.22,2.96,1.52,1.8,1.67,1.31,0.82,1.5,2.84,0.6,1.79,0.92,0.48,1.13,1.13,0.72,1.33,2.34,2.19,1.22,1.02,1.27,,0.5,2.56,1.34,,,
May,,1.55,1.98,2.2,0.86,3.15,2.33,1.24,0.56,1.57,2.01,1.31,2.78,1.66,2.13,0.58,0.7,0.96,1.76,3.39,1.28,2.08,2.08,,2.26,0.4,3.82,,,
June,,2.54,3.32,3.28,0.91,1.6,1.36,0.24,2.41,0.25,2.98,0.42,2.82,1.28,3.56,2.1,2.23,2.68,1.82,1.7,5.12,1.12,1.79,,1.79,1.27,1.32,,,
July,,2.82,2.47,3.25,3.7,1.46,4.38,1.07,5.46,3.08,2.09,4.47,1.35,4.91,1.49,4.54,2.71,1.32,0.64,2.19,1.49,3.61,2.81,,1.53,1.75,1.79,,,
August,,4.64,2.66,2.54,1.25,3.41,1.51,1.95,1.69,4.37,6.6,4.37,3.53,2.33,2.63,3.6,2,2.71,1.71,0.93,6.08,1.82,2.52,,2.08,2.09,2.68,,,
September,,4.47,1.76,4.47,1.89,2.15,1.6,5.01,1.33,0.96,2.13,2.5,2.49,1.53,0.66,0.47,2.15,2.74,0.73,2.68,0.82,0.87,0.42,,1,1.48,0.44,,,
October,,3.8,3.44,1.37,1.39,4.23,4.79,2.08,0.83,4.78,1.54,1.74,4.45,0.86,4.3,3.82,5.32,1.27,5.11,1.5,5.65,1.92,2.37,,0.64,1.67,3.47,,,
November,,1.3,2.71,1.31,1.37,1.93,3.84,3.06,4.58,0.96,3.44,2.23,1.31,2.2,0.59,2,1.48,1.5,3.28,1.04,2.92,4.49,1.19,,2.45,5.03,2.65,,,
December,,2.02,3.64,1.76,1.28,0.61,2.99,2.37,0.69,1.13,1.75,3.39,1.24,1.17,1.2,2.05,4.88,2.13,1.08,3.33,1.75,2.93,3.02,,1.49,0.35,2.24,,,
Total,,31.43,28.02,26.45,20.14,23.86,31.91,21.02,26.96,23.72,28.61,25.98,26.22,21.6,22.81,28.09,26.22,22.69,21.92,22.96,36.07,23.6,20.05,,19.04,18.57,23.46,,,
