"NEWCASTLE CLIFTON ROAD - 5"" gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ225640,Long,-1.650067,Lat,54.970117,Elevation,315,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,1.73,2.75,1.45,3.94,1.25,1.47,0.92,1.96,0.83,1.27,1.48,1.63,4.41,1.19,1.65,0.94,,3,1.45,0.83,2.18,,,,,,
February,,,,1.34,1.01,0.83,1.26,0.39,1.12,0.82,1.59,0.04,2.75,3.13,2.9,1,0.64,1.5,0.98,,4.88,1.3,1.1,1.19,,,,,,
March,,,,1.39,1.99,1.61,2.35,1.52,4.99,2.31,2.09,2.98,1.19,0.14,0.63,2.18,2.33,3.1,1.58,,1.46,1.43,0.8,1.1,,,,,,
April,,,,1.52,1.86,1.7,1.37,0.86,1.55,2.96,0.63,1.87,0.91,0.5,1.14,1.26,0.76,1.4,,,1.35,1.05,1.31,1.29,,,,,,
May,,,,2.16,0.95,3.27,2.45,1.28,0.61,1.64,1.99,1.31,2.91,1.65,2.17,0.61,0.75,0.95,1.83,,1.33,2,2.25,2.15,,,,,,
June,,,,3.35,0.95,1.68,1.41,0.28,2.41,0.26,3.12,0.38,2.94,1.33,3.37,2.17,2.11,2.3,,,5.25,1.22,1.85,2.68,,,,,,
July,,,,3.32,3.79,1.52,4.45,1.14,5.52,3.14,2.22,3.73,1.39,4.93,1.58,4.41,2.8,1.34,,,1.53,3.67,2.92,4.55,,,,,,
August,,,,2.61,1.35,3.44,1.56,2.02,1.87,4.45,6.67,4.62,3.52,2.4,2.62,3.68,1.62,3.06,,,6.15,1.9,2.52,2.1,,,,,,
September,,,,4.56,1.91,2.38,1.69,5.07,1.38,0.99,2.28,2.45,2.63,1.4,0.74,0.47,2.15,2.91,,,0.88,0.94,0.44,2.2,,,,,,
October,,,,1.46,1.47,4.26,4.83,2.26,0.88,5.02,1.86,1.87,4.43,1,4.57,3.8,5.35,1.28,,,5.7,1.98,2.46,7.8,,,,,,
November,,,,1.42,1.53,2.05,3.71,3.08,4.54,1,3.46,2.26,1.33,2.19,0.67,2.12,1.34,1.5,,,3.06,4.56,1.21,2,,,,,,
December,,,,1.78,1.39,0.68,3.04,2.74,0.75,1.22,1.86,3.44,1.13,1.3,1.22,2.09,5.08,2.19,,,1.83,2.8,3,1.56,,,,,,
Total,,,,26.64,20.95,24.87,32.06,21.89,27.09,24.73,29.73,25.78,26.4,21.45,23.24,28.2,26.12,23.18,,,36.42,24.3,20.69,30.8,,,,,,
