"NEWCASTLE CLIFTON ROAD",,,,,,,,,,,,
Grid ref,NZ225640,Long,-1.650067,Lat,54.970117,,,,,,,
Station no,RR2678,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.00,1.45,0.83,2.18,,,,,,,,
February,4.88,1.30,1.10,1.19,,,,,,,,
March,1.46,1.43,0.80,1.10,,,,,,,,
April,1.35,1.05,1.31,1.29,,,,,,,,
May,1.33,2.00,2.25,2.15,,,,,,,,
June,5.25,1.22,1.85,2.68,,,,,,,,
July,1.53,3.67,2.92,4.55,,,,,,,,
August,6.15,1.90,2.52,2.10,,,,,,,,
September,0.88,0.94,0.44,2.20,,,,,,,,
October,5.70,1.98,2.46,7.80,,,,,,,,
November,3.06,4.56,1.21,2.00,,,,,,,,
December,1.83,2.80,3.00,1.56,,,,,,,,
Total,36.42,24.30,20.69,30.80,,,,,,,,
Calc annual,36.42,24.30,20.69,30.80,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
