ST HELENS WINDLE HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ500975,Long,-2.75473,Lat,53.4718,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2823/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.17,4.2,2.11,3.3,4.75,2.46,1.5,3.39,3.74,4.49,1.83,4.12,2.44,6.39,2.36,1.44,2.71,3.28,1.56,3.24,2,4.31,1.75,2.3,2.85,4.46
February,,,,,3.06,2.1,4.12,0.9,3.07,2.15,3.1,1.42,1.93,1.42,3.02,4.85,0.8,2.2,1.56,4.09,2.02,1.29,0.93,2.56,2.63,0.53,1.56,3.8,0.39,1.6
March,,,,,1.31,1.72,1.59,1,1.8,2.37,2.73,3.01,0.83,1.01,1.26,0.96,4.78,1.05,2.56,1.11,4.3,1.88,1.3,2.19,1.67,0.98,2.3,1.35,1.21,1.56
April,,,,,2.49,1.27,2.78,0.37,1.93,2.51,1.76,1.67,1.65,2.34,1.98,1.06,2.63,1.44,2.68,3,1.81,2.32,2.95,0.89,1.88,2.91,0.47,0.88,2.72,1.58
May,,,,,1.65,0.85,2.1,3.76,1.35,2.68,1.83,3.62,2.59,2.54,3.82,1.91,2.62,1.53,3.25,1.19,2.9,2.3,2.03,2.38,2.81,0.96,2.1,3.48,2.15,2.15
June,,,,,2.62,3.73,1.6,3.47,3.99,0.9,0.55,0.63,2.28,2.18,3.63,3.64,2.02,4.1,0.89,2.2,1.14,2.54,1.76,3.08,3.36,1.74,1.52,4.53,2.37,1.82
July,,,,,1.91,3.73,1.41,3.42,5.83,3.38,2.04,3.64,2.99,3.05,3.19,3.64,2.56,2.79,3.22,2.65,2.25,1.66,3.78,4.65,0.82,4.84,4.33,4.4,2.85,4.4
August,,,,,2.05,2.03,3.1,4.25,2.13,1.61,5.38,3.74,4.21,2.91,2.75,4.76,0.24,4.55,2.29,7.38,5.29,3.9,3.53,4.48,1.54,9.4,5.07,3.58,0.98,5.47
September,,,,,5.57,4.02,1.57,1.67,1.04,3.52,1.26,2.49,3.9,5.2,2.19,4.37,2.65,1.79,1.45,5.54,2.66,3.67,4.19,3.66,3.01,2.77,5.61,3.66,0.28,3.29
October,,,,,5.26,2.93,2.55,7.44,1.93,3.89,3.59,,3.98,3.99,5,0.96,0.5,2.38,3.68,2.68,0.92,4.37,1.77,5.97,2.57,2.46,3.7,3.65,2.83,3.21
November,,,,,4.04,3.84,1.77,4.13,5.08,5.83,2.52,,2.45,5.64,0.4,4.95,3.79,2.03,4.72,4.77,8,2.26,3.21,5.63,1.49,2.3,1.51,1.55,4.64,5.75
December,,,,,3.35,3.45,1.83,3.99,3.33,2.72,1.38,,1.83,2.91,2.69,2.97,3.17,3.06,4.85,4.27,6,2.97,1.07,4.1,2.44,2.22,3.2,3.54,5.02,3.74
Total,,,,,35.48,33.87,26.53,37.7,36.23,34.02,27.64,,32.38,37.68,31.76,38.19,28.2,33.31,33.51,40.32,40,32.44,28.08,42.83,26.22,35.42,33.12,36.72,28.29,39.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR and elevation verified to CEDA Archive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
