LICHFIELD-MUSEUM,,,,,,,,,,,,,,,,,,,,
Grid ref,SK114095,Long,-1.8328042,Lat,52.683077,Elevation,270,ft.,,,,,,,,,,,,
Station no,RR4236,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,0.23,0.57,2.5,2.83,2.92,1.68,3.46,3.05,1.28,0.83,3.28,2.09,2.13,1.93,,,,,,
February,2.44,3.53,2.28,2.45,1.75,2.75,0.97,0.53,1.02,2.52,0.68,0.13,1.44,2.79,,,,,,
March,1.15,2.62,1.68,1.44,2.25,1.28,3.26,2.1,2.91,3.02,1.69,1.59,0.78,0.73,,,,,,
April,1.66,0.71,3.45,1.42,1.76,2.77,2.13,1.16,2.32,3.58,1.12,2.1,1.09,0.63,,,,,,
May,2.12,1.35,3.35,1.85,1.38,2.58,5.95,2.14,0.61,3.85,2.72,3.57,2.18,2.54,,,,,,
June,4.13,2.35,5.16,2.69,1.87,3.53,1.05,2.46,2.1,0.88,1.87,4.03,3.19,0.81,,,,,,
July,5.65,1.8,3.01,3.84,2.78,0.32,2.52,1.76,6.39,1.98,2.29,2.48,2.2,2.76,,,,,,
August,0.94,4.61,1.58,1.53,2.18,3.23,1.46,1.57,3.56,3.65,3.35,4.16,1.95,1.23,,,,,,
September,3.46,1.98,2.08,5.73,1.81,3.33,2.39,3.23,1.07,3.09,1,1.37,2.54,1.6,,,,,,
October,5.34,3.2,5.56,2.39,1.56,4.88,3.52,2.24,0.73,3.29,1.67,5.44,2.73,2.73,,,,,,
November,1.73,2.34,3.6,4.07,1.35,2.93,1.86,1.66,4.34,0.88,4.4,2.03,1.66,,,,,,,
December,3.57,2.7,4.81,1.24,2.64,1.27,4.57,2.11,1.91,2.26,0.77,3.28,2.36,,,,,,,
Total,32.42,27.76,39.06,31.48,24.25,30.55,33.14,24.01,28.24,29.83,24.84,32.27,24.25,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is in the grounds of the Museum. Stated altitude, 220 ft., is 50 ft too low; OS figure used.",,,,,,,,,,,,,,,,,,,,
