"PENRITH (NEWTON RIGG)",,,,,,,,,,,,
Grid ref,NY493310,Long,-2.787671,Lat,54.671505,,,,,,,
Station no,3607,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.23,3.28,1.00,3.16,1.98,2.55,4.08,1.99,2.55,4.89,,
February,3.72,0.54,0.87,2.47,1.24,0.76,2.93,4.19,0.35,3.14,,
March,3.18,1.16,0.38,2.60,0.86,1.35,2.95,0.86,2.02,1.03,,
April,1.73,1.95,2.31,0.84,0.44,0.70,0.35,0.82,3.21,2.65,,
May,1.65,1.78,2.99,3.67,2.78,1.29,1.71,3.80,1.34,2.14,,
June,0.51,1.67,2.80,3.01,1.97,2.49,1.05,3.52,3.77,0.96,,
July,2.37,2.12,3.16,3.12,0.99,3.58,3.52,2.90,3.53,3.10,,
August,4.71,4.54,3.77,4.38,2.78,7.05,4.60,3.30,0.60,3.56,,
September,3.27,2.59,3.92,5.70,2.14,2.99,4.51,4.30,1.02,2.36,,
October,0.79,4.84,1.75,8.32,2.43,2.23,3.33,3.59,4.07,3.45,,
November,8.92,2.07,1.50,8.36,2.04,1.52,0.97,0.73,4.94,6.69,,
December,5.77,3.50,1.73,3.98,5.06,4.54,3.67,3.05,5.43,4.71,,
Total,39.85,30.04,26.18,49.61,24.71,31.05,33.67,33.05,32.83,38.68,,
Calc annual,39.85,30.04,26.18,49.61,24.71,31.05,33.67,33.05,32.83,38.68,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
