"PENRITH, NEWTON REIGNY and NEWTON RIGG - monthly gauge",,,,,,,,,,,,,,,,,,,,
Grid ref,NY493310,Long,-2.787671,Lat,54.671505,Elevation,559,ft,,,,,,,,,,,,
Station no,3607,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,2.66,5.68,2.95,1.81,1.96,5.77,2.73,2.23,1.47,,,,,,
February,,,,,,4.2,1.07,1.82,1.38,2.14,0.74,0.22,1.98,4.56,,,,,,
March,,,,,,2.23,2.54,1.56,2.41,1.42,2.55,1.87,0.84,1.63,,,,,,
April,,,,,,2.25,3.27,1.7,1.59,2.23,1.1,1.63,1.07,0.41,,,,,,
May,,,,,,2.5,5.08,1.84,2.6,3.24,2.45,1.36,3.32,1.54,,,,,,
June,,,,,,1.46,1.69,0.23,1.25,0.93,2.98,1.82,3.63,2.09,,,,,,
July,,,,,,1.52,5.89,2.07,5.62,1.84,1.71,5.74,1.91,3.16,,,,,,
August,,,,,,2.24,1.22,2.72,2.93,3.65,3.6,6.45,6.69,4.04,,,,,,
September,,,,,,4.35,4.06,3.9,0.8,1.91,3.32,5.54,5.3,3.06,,,,,,
October,,,,,,4.2,5.5,2.25,2.9,5.23,2.79,5.31,5.07,3.82,,,,,,
November,,,,,,2.24,3.06,3.07,6.52,1.44,5.58,4.53,2.4,2.56,,,,,,
December,,,,,,1.77,5.09,3.7,3.24,2.83,0.45,7.72,1.21,4.59,,,,,,
Total,,,,,,31.62,44.15,27.81,33.05,28.82,33.04,44.92,35.65,32.93,,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_12_pt1-page-010.csv,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_18_pt1-page-168.csv,,,,,,,,,,,,,,,,,,,,
