BACUP (SHEEPHOUSE RESERVOIR) - New site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD877220,Long,-2.187754,Lat,53.694296,Elevation,975,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,4.76,2.37,6.91,5.1,6.71,8.41,2.13,2.04,8.18,8.8,7.08,5.01,7.56,4.86,13.56,3.91,4.79,6.86,6.94,2.21,5.28,4.66,,5.53,6.87,4.63,7.79
February,,,,0.56,7.25,3.68,7.72,2.55,6.9,2.9,6.47,2.67,3.78,2.37,7.02,8.17,3.72,4.87,4.97,7.99,5.19,1.7,2.66,6.77,3.17,,5.15,9.64,0.98,6.27
March,,,,3.79,1.84,3.72,2.97,1.65,4.25,4.07,5.23,4.35,1.53,0.68,1.74,2.11,10.65,2.29,2.63,4.21,6.47,3.76,2.58,4.55,3.05,,5.57,3.33,3.43,1.95
April,,,,3.49,4.42,1.8,4.15,0.69,3.18,3.87,3.31,3.18,2.95,4.49,3.07,1.92,6.19,3.03,5.64,4.9,3.65,5.23,4.53,0.8,3.47,,0.58,2.21,4.41,3.87
May,,,,4.67,1.55,1.39,2.47,5.28,2.18,1.32,3.01,4.62,3.53,3.37,4.83,1.67,2.78,2.65,4.18,2.61,2.78,2.59,2.99,3.66,5.74,,2.29,5.9,2.67,2.5
June,,,,3.59,4.95,4.41,2.53,5.98,4.78,0.94,0.87,1.04,3.93,3.62,6.37,5.11,3.77,7.31,0.9,3.43,1.79,4.95,3.69,3.89,4.34,,2.1,5.59,4.1,1.99
July,,,,3.14,2.14,5.9,2.72,5.56,8.85,6.01,2.44,5.62,3.42,4.55,3.29,3.99,4.49,3.44,2.57,6.46,4.31,2.44,6.69,5.74,2.79,,6.6,5.07,4.5,8.57
August,,,,4.48,2.43,3.43,3.91,5.5,3.83,2.67,8.12,6.15,7.51,3.57,5.17,9.09,0.33,6.44,4.93,8.33,6.61,5.58,6.26,8.22,1.41,,7.52,5.08,0.77,5.94
September,,,,4.68,10.33,6.01,2.17,2.5,1.71,5.04,1.07,3.17,5.37,7.05,4.03,9.48,4.44,4.7,1.86,9.4,4.52,4.55,5,6.76,4.19,,6.98,6.04,0.53,3.84
October,,,,6.66,10.26,5.87,2.81,13.45,2.46,6.31,5.07,6.74,3.7,6.4,8.34,1.42,1.34,3.62,7.62,3.76,1.37,6.56,3.43,10.94,3.15,,7.57,5.78,6.47,6.59
November,,,,2.42,7.21,6.91,2.33,9.38,8.78,10.84,3.92,1.42,4.42,9.12,0.68,12.19,8.64,3.2,9.12,6.65,11.06,2.95,6.28,9.7,3.45,,3.35,2.32,6.57,9.59
December,,,,8.75,5.02,6.78,3.91,6.97,4.39,5.83,3.08,5.03,3.62,6.11,4.96,7.26,4.98,6.51,9.76,4.13,10.89,5.14,2.46,9.66,7.7,,6.56,6.32,12.18,6.14
Total,,,,50.99,59.77,56.81,42.79,66.22,59.72,51.93,44.63,52.17,52.56,58.41,54.51,69.97,56.19,61.62,58.09,66.66,65.5,52.39,48.78,75.97,47.12,,59.8,64.15,51.24,65.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11984,SHEEPHOUSE RESR ,01/01/1934,31/12/1982,SD8769621878,,,,,,,,,,,,,,,,,,,,,,,,,,
