GREENWICH-CROOMS-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ387770,Long,-0.0042614,Lat,51.474967,Elevation,140,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,,,,,,,,,,,,,,1.05,,,1.7,2.45,-999,1.25,2.92,2.98,1.07,1.25,3.19,2.48,3.09,1.33,1.43,1.67,1.35,2.86,3.22,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,,,,3.31,,,1.65,,-999,1.45,1.38,0.98,1.04,2.68,2.89,1,1.3,1.68,3.13,2.46,0.99,1.03,1.16,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,,,,0.84,0.6,,2,0.45,0.95,1.65,0.33,1.28,2.15,0.51,3.05,1.47,1.03,0.74,3.29,0.45,0.19,4.36,0.12,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.5,,2.5,1.1,0.55,1.35,0.11,1.91,0.51,1.86,0.38,0.7,2.91,0.86,3.46,2.39,2.62,2.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.9,,1.2,0.9,1.4,1.5,2.1,1.81,2.4,4.14,0.32,2.25,1.61,1.25,0.24,4.27,2.47,0.78,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,,,,,1.82,0.4,,1.05,1,4.6,1.7,1.5,2.12,1.18,1.27,2.09,2.03,0.66,1.44,3.96,0.32,0.98,1.38,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,,,,,1.5,4.85,,1.55,1.5,1.85,3.44,1.58,4.31,2.74,2.54,3.06,2.04,1.74,0.71,3.35,3.38,2.8,4.38,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,,,,,1.6,3,,2.45,4.2,0.95,2.5,1.02,1.7,1.85,4.1,1.94,3.23,5.21,2.33,5.09,0.41,1.79,2.43,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,,,,,1.7,0.8,,2.96,1.15,2.65,4.5,2.65,3.86,4.29,0.44,1.14,2.15,1.92,1.77,2.41,3.21,1.61,0.37,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.44,,3.85,2.3,1.8,1.75,1.5,5.5,1.56,4.5,4.08,1.35,5.27,2,3.62,2.93,1.55,2.37,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
