HELENSBURGH FERNIGAIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS286826,Long,-4.750504,Lat,56.00561,Elevation,18,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,5.16,8.88,4.45,5.25,2.57,6.78,0.84,4,1.46,4.93,7.1,5.88,3.24,2.78,8.91,4.84,2.89,5.58,4.08,7.03,7.72
February,,,,,,,,,,3.3,1.3,1.6,2.3,5.48,11.45,0.39,2.97,3.08,4.61,2.99,3.3,1.63,,8.55,4.84,3.15,2.68,4.37,4,3.13
March,,,,,,,,,,1.93,4.55,4.12,1.57,1.9,3.86,3.14,5.45,5.9,2.3,4.29,0.44,1.83,3.24,8.87,2.47,3.99,3.65,5.8,5.69,2.1
April,,,,,,,,,,3.2,1.5,1.94,1.28,1.92,1.24,2.38,2.55,1.93,3.98,3.62,2.74,2.32,1.68,1.7,5.67,2.86,1.16,2.7,1.37,4.15
May,,,,,,,,,,3.3,,2.13,4.74,2.44,2.29,0.17,0.7,2.58,2.09,3.01,3.46,1.6,2.67,2.97,4.01,2,5.5,4.6,2.89,3.25
June,,,,,,,,,,1.44,5,1.41,3.93,1.35,2.53,2.3,3.03,5.74,3.26,1.79,3.14,3.29,1.83,2.86,3.14,0.81,1.6,5.21,2.92,3.18
July,,,,,,,,,,1.7,3.34,1.09,2.8,4.6,3.23,3.71,3.88,2.25,1.59,2.94,4,2.53,3.52,4.08,2.42,3.48,3.08,2.7,4,3.96
August,,,,,,,,,,7.76,3.18,5.39,8.39,5.2,3.6,7,2.15,,6.2,1.02,5.04,4.8,2.67,8.65,5.04,4.95,4.15,7.05,5,3.29
September,,,,,,,,,,1.89,7.85,,6.45,3.8,0.21,1.88,4.01,,6.41,4.83,3.91,2.69,4.12,4.54,4.7,2.11,2.42,1.99,7.16,2.39
October,,,,,,,,,,4.43,3.98,5.12,3.62,6.36,3.07,3.54,2.79,2.33,4.06,3.92,7.04,4.76,2.57,10.4,2.41,4.33,6.61,5.4,1.23,7.85
November,,,,,,,,,,2.73,8.5,5.18,4.7,4.12,4.1,6.99,1.99,3.43,5.78,3.91,5.76,3.76,4.13,3.68,2.89,5.38,4.54,4.54,4.3,3.45
December,,,,,,,,,,4.66,1.18,9.02,2.98,6.08,4.86,6.33,,5.49,8.77,4.81,8.11,4.66,6.4,4.3,5.66,3.97,4.25,6.89,5.25,7.4
Total,,,,,,,,,,41.5,,,48.01,45.82,47.22,38.67,,,53.98,44.23,52.82,37.11,,69.51,48.09,39.92,45.22,55.33,50.84,51.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890 M+T Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891 S+T deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896 D+T deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897 AS+ T deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902 F+T deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
