ST ABBS HEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT914691,Long,-2.1391,Lat,55.915,Elevation,245,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5094/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,2.76,3.03,3.86,2.32,2.41,3.2,2.78,0.94,3.7,1,2.65,3.36,1.69,0.91,3.8,,,1.36,1.27,1.96,2.38,2.03,0.99,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,3.1,0.62,1.52,1.38,4.44,0.93,0.92,0.9,2.1,0.65,1.36,0.84,0.76,2.13,2.41,,,1.8,1.17,1.48,1.66,1.84,0.22,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,3.05,0.58,2.2,3.02,2.43,0.82,1.06,0.58,0.51,1.54,4.68,0.49,0.91,1.55,2.2,,,0.87,0.5,0.76,1.89,2.4,0.52,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.63,0.37,1.32,1.54,1.09,1.02,0.85,2.23,1.05,0.48,2.69,0.35,0.93,1.99,2.84,,,0.67,0.85,0.5,0.41,0.98,1.85,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,3.17,2.5,0.54,1.44,1.27,3.24,2.77,1.68,5.12,1.96,3.22,0.69,1.05,1.89,2.78,,1.85,2.21,1.2,0.31,1.17,1.48,0.56,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,1.68,2.62,2.05,0.41,1.91,1.08,1.91,2.65,1.92,2.06,1.7,1.43,1.33,1.39,,,1.4,2.42,0.92,2.06,0.76,2.27,1.25,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,2.6,2.91,2.87,8.79,1.72,2.01,1.19,2.36,1.86,2.09,1.75,0.74,2.33,2.45,,,1.75,1.52,1.19,3.4,3.1,3.56,1.33,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,2.22,1.98,1.27,1,3.35,1.72,3.62,2.36,4.2,4.85,0.1,9.75,2.16,2.54,,,2.02,3.42,0.32,3.99,3.25,4.25,0.37,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,1.23,2.27,1.52,2.33,0.59,2.11,2.01,4.67,2.59,3.56,1.09,2.28,3.02,3.89,,,2.69,2.01,1.05,3.17,1.37,1.59,0.55,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,3.11,4.04,4.85,3.19,3.67,2.04,2.02,2.61,3.76,0.77,0.75,2.77,4.68,1.26,,,1.22,3.62,1.53,1.16,1.34,1.25,2.12,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,0.83,3.26,2.72,3.84,3.18,0.47,1.95,3.72,0.63,5.56,2.09,1.13,2.58,5.09,,,1.69,2.78,1.15,0.53,0.38,0.71,2.11,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
