"KIRKMICHAEL",,,,,,,,,,,,
Grid ref,NO107545,Long,-3.458911,Lat,56.673703,,,,,,,
Station no,5569,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.82,2.29,0.52,3.21,2.24,,,,,,,
February,4.04,1.07,0.78,4.37,2.20,,,,,,,
March,2.06,3.79,0.50,3.58,1.43,,,,,,,
April,2.16,1.76,1.65,1.04,1.21,,,,,,,
May,1.64,4.13,2.22,5.12,1.77,,,,,,,
June,2.10,1.79,2.32,1.99,2.06,,,,,,,
July,2.25,1.63,4.24,3.17,0.65,,,,,,,
August,5.69,2.87,2.08,3.64,0.78,,,,,,,
September,3.09,0.57,3.92,5.46,1.38,,,,,,,
October,1.23,4.97,2.44,6.74,2.97,,,,,,,
November,11.23,2.23,3.40,9.62,2.90,,,,,,,
December,4.16,2.34,4.23,5.05,7.34,,,,,,,
Total,43.47,29.44,28.30,52.99,26.93,,,,,,,
Calc annual,43.47,29.44,28.30,52.99,26.93,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
