LANARK,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 87219 44526,Long,-3.795197,Lat,55.681069,Elevation,505,ft,,,,,,,,,,,,
Station no,RR3138,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,6.08,2.62,4.24,3.43,2.6,2.23,5.77,4.83,3.1,,1.5,7.46,4.01,
February,,,,,,,3.93,2.24,3.84,4.84,2.64,2.19,2.95,1,1.33,,3.52,2.96,1.96,
March,,,,,,,1.64,-999,4.15,0.94,1.02,2.79,2.76,2.64,1.97,,4.79,2.33,1.33,
April,,,,,,,1.64,2.87,4.3,1.1,0.79,3.05,1.23,0.19,1.76,,2.28,2.78,1.89,
May,,,,,,,1.42,1.77,2.67,1.43,2.62,0.48,3.18,2.85,1.48,,0.74,2.5,3.5,
June,,,,,,,1.64,2.78,1.02,1.85,1.82,2.42,5.79,0.91,0.68,,3.03,2.2,2.74,
July,,,,,,,2.98,5.22,0.34,1.23,1.45,4.94,5.15,4.87,2.83,,2.27,3.35,1.16,
August,,,,,,,3.15,2.25,3.58,1.39,2.16,3.74,3.7,3.77,5.54,,3.76,5.42,3.69,
September,,,,,,,4.05,2.96,2.58,4.68,1.82,1.97,5.55,4.04,3.87,,2.49,2.65,4.63,
October,,,,,,,2.19,3.47,4.04,1.78,2.97,2.74,4.96,5.76,5.33,,3.99,3.45,3.82,
November,,,,,,,3,0.71,2.71,4.09,1.72,2.44,4.18,1.75,3.46,,3.56,4.88,1.29,
December,,,,,,,4.6,2.04,5.66,4.44,1.78,3.32,3.83,2.03,1.88,,5.3,3.32,0.25,
Total,,,,,,,36.32,30.24,39.13,31.2,23.39,32.31,49.05,34.64,33.23,,37.23,43.3,30.27,
