TRESCO-ROWESFIELD,,,,,,,,,,,,,,,,,,,,
Grid ref,SV899146,Long,-6.32416,Lat,49.95089,Elevation,40,ft,,,,,,,,,,,,
Station no,1953/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.92,5.32,1.33,1.15,5.49,3.4,1.77,2.8,6.41,4.44,1.67,3.72,4.21,3.11
February,,,,,,,4.93,0.86,1.14,6.17,4.35,1.11,1.66,4.47,5.45,1.12,3.75,4.02,0.25,3.54
March,,,,,,,7.79,1.76,1.69,1.33,4.87,3.32,0.99,2.98,2.31,1.73,4.38,4.61,2.88,3.17
April,,,,,,,2.32,2.53,1.65,1.08,1.63,2.86,2.75,0.53,1.42,1.34,0.67,1.16,2.24,1.4
May,,,,,,3.85,3.21,2.03,2.51,2.34,2.67,1.88,3.07,2.95,4,1.62,1.29,2.6,1.22,2.05
June,,,,,,1.83,4.08,1.39,0.42,1.94,1.09,1.14,1.97,3.06,4.48,1.99,0.55,2.93,0.75,1.56
July,,,,,,2.54,2.52,1.24,1.33,3.62,0.48,2.31,4.48,3.48,0.1,3.78,2.07,2.27,1.16,4.26
August,,,,,,4.11,1.21,3.22,1.84,4.37,5.26,3.68,2.39,1.56,0.33,2.76,2.86,4.61,1.11,4.68
September,,,,,,3.38,1.44,0.92,4.3,4.57,3.61,4.68,2.88,3.33,0.93,4.45,2.12,5.88,0.15,3.94
October,,,,,,2.84,2.41,4.53,6.28,2.74,1.55,3.43,2.29,2.64,3.55,1.68,2.08,2.54,5.27,6.62
November,,,,,,4.34,2.88,1.61,4.88,6,5.77,6.41,2.27,7.32,2.32,1.41,2.37,1.67,5.77,4.94
December,,,,,,5.28,2.96,4.96,2.66,4.11,4.54,3.5,1.66,3.77,4.44,4.04,3.74,4,7.44,4.14
Total,,,,,,,39.67,30.37,30.03,39.42,41.31,37.72,28.18,38.89,35.74,30.36,27.55,40.01,32.45,43.41
,,,,,,,,,,,,,,,,,,,,
Gauge read monthly until 1956,,,,,,,,,,,,,,,,,,,,
MIDAS has NGR 100yds SW but it has 16ft for elevation so assume moved,,,,,,,,,,,,,,,,,,,,
NGR on sheet about 0.5 miles SW within Tresco Abbey gardens,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Tresco SRC_ID 8743,,,,,,,,,,,,,,,,,,,,
1946-1963,,,,,,,,,,,,,,,,,,,,
