FALKIRK KERSE NO. 2 GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS912817,Long,-3.746832,Lat,56.01583,Elevation,18,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5346/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1,1.97,5.68,4.77,2.2,2.59,7.56,3.1,1.25,4.51,1.43,4.45,4.64,4.46,1.7,2.4,,,,,,,,,,,,,,,,,,,,4.92,3.4,4.77,1.47,3.1,2.83,6.37,4.04,2.07,1.5,4.9,3.88,3.23,2.5,4,2.8,6.18,3.71,2.6,3.86,2.4,0.83,3.45,2.66,2.2,5.15,2.55,1.42,3.98
February,2.71,2.49,2.12,2.63,0.81,1.36,7.85,2.89,1.86,1.41,3.26,1.85,1.19,3.33,4.85,2.7,,,,,,,,,,,,,,,,,,,,0.04,2.5,0.18,3.15,2,4.65,1.1,4.9,1.12,3.26,1.5,2.76,0.87,4.33,2.3,2,3.6,3.3,3,2.27,0.35,1.02,2.51,2.2,1.3,3.32,2.1,1.35,2.77
March,4.32,1.16,3.16,0.98,2.3,2.1,8.66,1.81,3.4,3.43,2.88,3.99,2.58,1.97,1.95,3.32,,,,,,,,,,,,,,,,,,,,2.5,1.53,2.64,1.22,2.08,2.06,2,2,2.73,2.84,1.75,2.16,0.43,2.36,1.97,3.27,2.6,0.54,3.13,2.34,2.6,0.81,2.55,2.41,1.7,2.69,1.45,1.02,2.21
April,1.51,1.92,3.73,2.07,2.54,0.68,1.57,4.09,1.33,0.98,1.15,1,2.7,3.5,1.95,0.4,,,,,,,,,,,,,,,,,,,,2.7,-999,3.1,2.38,1.2,1.46,0.26,1.48,3.2,1.24,2.6,1.77,2,1.43,0.52,4.55,2.6,2.65,1.8,2.1,1.05,1.63,1.7,0.91,0.63,1.34,1.19,2.92,1.28
May,2.24,2.4,3.97,1.73,1.56,1.79,1.26,2.77,1.45,4.36,4.16,2.65,2.48,1.1,1.4,1.2,,,,,,,,,,,,,,,,,,,,2.77,-999,1.46,0.36,0.72,1.95,4.1,1,2.94,4.21,2.4,3.36,2.81,4.5,1.5,3.1,1.56,1.74,1.6,1.8,0.5,1.8,4.1,3.29,1.75,2.44,2.71,0.97,2.55
June,4.97,1.95,1.72,3.58,2.23,1.92,1.8,1.27,0.7,1.43,3.9,1.8,1.47,0.94,1,5.3,,,,,,,,,,,,,,,,,,,,0.88,0.92,1.94,3.61,1.4,1.7,3.45,1.34,0.47,0.5,1.3,2.6,2.36,3.5,2.31,3.6,5.12,0.8,1.72,2,2.41,1.17,2.25,1.08,3.3,1.48,3.18,1.73,1.55
July,1.6,0.9,3.2,2.59,1.17,2.63,4.22,1.67,3,2.43,2.13,3.15,2.4,3.3,1.85,2.2,,,,,,,,,,,,,,,,,,,,2.65,4.5,3.23,1,4.68,3.83,2.75,3.75,4.24,4.18,1.34,2.02,2.41,3.63,3.24,2.7,3.75,2.1,4.62,5.4,2.5,4.17,2.75,0.92,4.23,3.12,6.09,4.3,2.49
August,4.4,3.54,0.99,3.55,3.92,2,4.19,4.11,2.89,4.49,3.94,2.63,2.18,5.66,1.6,4.2,,,,,,,,,,,,,,,,,,,,0.54,1.31,3,2.18,,3.68,2.15,0.79,1.01,3,2.6,3.2,3,2.25,3.47,0,6.91,3.3,3.7,4.2,3,1.75,4.15,1.11,5.26,3.48,3.94,0.56,3.6
September,2.2,4.21,3.27,3.1,1.69,1.86,2.26,2.1,1.35,1.88,1.5,4.51,1.59,0.62,1.53,1.3,,,,,,,,,,,,,,,,,,,,3.65,0.96,2.73,3.82,,2.23,3.6,1.44,2.15,0.84,5,2.91,3.45,3.5,4.9,3,3.5,1.2,5.93,2,1.1,3.71,3.82,2.14,3.93,1.9,3.22,0.78,1.3
October,1.46,5.34,2.36,4.77,2.84,1.46,6.58,1.24,2.34,4.46,5.3,1.64,4.39,2.32,3.25,3.15,,,,,,,,,,,,,,,,,,,,4.58,2.24,-999,7.1,,3.9,3.6,2.35,3.85,3.5,3,5.96,3.2,4.18,0.65,1.54,3.15,5,3.24,1,2.25,1.24,8.9,2,2.42,2.63,2.2,2.72,3.3
