FALKIRK KERSE NO 1 GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS912817,Long,-3.746832,Lat,56.01583,Elevation,18,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,4.5,,,,,2.2,2,3,4,3.8,2,4.6,6,3,2.8,4.7,3.5,6.3,4.2,2.6,2.6,4.4,5,3.6,4.5,2.4,7,3.4,1.6,0.8,0.7,3.5,3.6,6.2,2.8,4,2.3,1.7,1.8,6.2,2.6,1.9,1.4,5.3,1.1,1.4,1,1.9,6.1,4.7,2.8,2.6,7.9,3,1.3,4.3,1.4,4.5,4.5,4.7,1.8,2.3,3.1,3.4,1.9,4.5,1.3,4.2,2.7,4.2,5.5,3.9,2.9,3.2,4.43,4.63,3.68,7.3,1.48,4.15,2.55,5,3.35,4.7,1.5,3,2.6,6.3,4,2,1.5,4.8,3.9,3.2,2.5,4,2.8,6.1,3.7,2.6,3.8,2.4,,,,,,,,
February,,2.3,,,,,3.9,1.2,1.1,4.7,2.1,3,0.7,2.5,2.5,1.5,5.6,3.6,4.5,5.3,2.2,3.3,2.6,0.9,0.8,1.8,4.4,3.2,1.3,1.8,2.4,3.8,3.2,1.1,2.5,2.8,0.8,2,0.5,0.9,0.6,0.3,2.3,3.8,9.6,0.1,1.4,2.7,2.3,2.1,2.7,0.6,1.4,7.9,2.8,1.8,2,3.6,1.8,1.3,3.4,4.9,2.6,3,2.5,3.1,3.9,0.6,4.7,1.7,5.2,0.5,2.6,3.9,0.5,3.23,3.98,1.4,5.2,1.23,0.31,2.6,0.04,2.45,0.18,3.1,2,4.55,1,4.9,1,3.25,1.5,2.7,0.8,4.3,2.3,2,3.6,3.3,3,2.3,0.3,,,,,,,,
March,,3.3,,,,,0.1,2.3,0.9,4.8,3.3,4.6,4.2,1.1,4.7,1.5,2,1,2.8,0.8,0.5,2,2.3,1.6,3,1.2,4.6,1.1,0.9,3,2.6,2.2,3.4,0.9,2.6,1.2,2.8,1.7,3.5,1.1,2,2.7,0.9,0.5,3.4,2.9,2.9,4.2,1.1,3.1,1.1,2.4,2.1,8.6,1.8,3.5,3.6,3,3.9,2.7,2,2,3.2,3.1,3,1.3,2.5,1.8,0.8,2.4,2.9,4.8,2.8,1.4,0.8,1.95,2.3,2.5,2.2,0.37,2.59,1.75,2.5,1.5,2.61,1.1,1.95,2,1.9,2,2.7,2.8,1.7,2.1,0.4,2.3,1.9,3.2,2.6,0.54,3.1,2.4,2.6,,,,,,,,
April,,2.1,,,,,1.3,2.4,1.5,3.6,0.8,0.8,2.2,2.7,1.2,0.8,0.9,3.35,3.1,0.9,0.8,4.8,0.8,0.05,1.6,1,2.6,2.2,1.6,1.5,2.9,0.7,2.3,1.3,0.8,0.8,1.3,2.1,1.1,2.7,1.1,0.5,0.4,0.9,1.2,1.9,1.2,1.5,1.9,3.6,2,2.6,0.7,1.5,4,1.4,0.9,1.3,1.1,3.1,3.8,1.9,0.5,3.5,2.7,1.7,2.1,1.3,0.6,1.5,1.4,0.9,1.5,3.1,1.4,3.69,1.7,1.9,0.9,1.4,0.52,1.3,2.6,1,3,2.3,1.1,1.34,0.2,1.5,3.2,1.2,2.6,1.8,2,1.4,0.5,4.5,2.6,2.7,1.8,2.1,1,,,,,,,,
May,,0.2,,,,,3.8,1.5,2.7,0.4,1.5,0.8,3,2,2,2.8,0.7,3.2,2,0.7,2.2,0.7,3.2,2.6,2,1.4,0.9,1.7,3.6,1.5,0.5,1.9,1.4,1.2,3.3,2.2,3.5,0.4,2.5,3.5,1.6,1.5,3.6,1.9,2.2,2.1,0.4,2.2,2.4,4,1.7,1.6,1.7,1.2,2.7,1.5,4.3,4,2.7,2.6,1.3,1.5,1,2.7,3.2,1.4,4.6,2.3,2.2,0.6,3.1,1.8,2.5,1.6,5.6,5.1,2.62,1.68,1.8,2.39,1.3,3.7,2.65,1.7,1.45,0.32,0.65,2,4,0.9,2.9,4.2,2.4,3.3,2.8,4.5,1.5,3.1,1.5,1.7,1.6,1.8,0.5,,,,,,,,
June,,1.9,,,,,3,3.9,2.3,1.5,4.4,2,2.4,2.5,3,1.1,1.5,2.1,0.9,1.3,1.9,1.3,5.5,1.3,0.5,2.4,2.6,3,2.2,4.1,1,2.5,2.8,1.6,0.5,0.4,1.3,0.4,2.2,0.5,2.6,0.6,3.2,1.4,2.8,1.2,3.8,4.9,1.9,1.7,3.5,2.3,1.8,2,1.2,0.7,1.5,3.8,1.8,1.7,0.9,0.9,5.2,1.7,0.3,2.1,2.9,2.2,0.3,1.4,2,0.5,1.8,1.5,2.7,0.35,2.15,3.3,5.1,2.3,2.72,4.9,0.8,0.9,1.95,3.52,1.4,1.65,3.3,1.3,0.5,0.5,1.3,2.6,2.3,3.5,2.3,3.6,5.1,0.8,1.7,2,2.4,,,,,,,,
July,,4.8,,,,,1.8,2.3,4.6,2.1,3,3.8,3.5,0.1,2.2,3.5,3.2,4.2,0.1,1.1,1.1,3.6,3.2,4.2,3.7,2.4,1.7,3.4,0.3,3.4,4.9,3.5,2.3,4.7,4.5,0.8,2.3,2.2,5.4,2.4,2.8,2.2,1.3,1.2,2.7,4.2,3.7,1.6,0.8,3.1,2.6,1.2,2.7,4.2,1.7,2.9,2.4,2.2,3,2.6,3.5,2,2.3,0.9,3.5,2.9,3.7,2.4,3.1,1,1.9,2.5,3,2.6,2.8,1.3,4.2,4.04,1.77,2.9,3.35,4,2.6,4.35,3.2,1,4.6,3.8,2.76,3.8,4.2,4.1,1.4,2,2.4,3.6,3.2,2.7,3.7,2,4.6,5.4,2.5,,,,,,,,
August,,4,,,,,3.7,1.6,2.8,1.5,3,5.7,3,3,1.2,4.2,3.4,2.6,4.4,1,0.7,3.8,3.9,3.7,5,1.5,3.2,7,2.7,4.3,0.4,3.6,1.5,3.8,1.4,2,1.4,3.1,1.9,5,3.3,4.7,7.2,2.3,4.5,6.1,2,4.2,3.5,1,3.6,3.9,2.9,4.1,4.1,3.4,4.4,4.2,2.6,2.4,5.8,1.7,4.3,0.7,3,4,3.2,5.3,3.4,2.2,5.4,5.4,1.7,5.2,2.9,2.68,2.18,6.2,4.1,4.32,5.16,3.6,0.54,1.3,3,2.15,2,3.7,2.1,0.75,1,3,2.6,3.2,3,2.25,3.5,0,6.9,3.3,3.7,4.2,,,,,,,,,
September,,0.8,,,,,3.3,3,2,3,1.1,4.6,1.9,3.2,3.6,0.6,3.7,2.3,2.4,5.2,2.6,2,5.6,4.6,2.9,3.1,3.7,1.2,2.8,2.6,2.5,2.1,1.7,1.9,2.2,4.2,4.4,3.2,0.7,1.1,2.9,4.4,3,1.5,0,1.4,3.2,2.1,4.2,3.2,3.2,1.7,1.8,2.3,2,1.4,2,1,4.5,1.7,0.6,1.6,1.2,2.7,0.9,1.7,0.9,1.6,4.4,1.8,1.7,1.9,2,3.5,3.7,2.93,3.6,6.2,3,0.58,3.65,0.6,3.6,0.95,2.6,3.65,2.5,2.2,2.5,1.4,2.1,0.8,5,2.9,3.4,3.5,4.9,3,3.5,1.2,5.9,2,,,,,,,,,
October,,1.7,,,,,1,1.7,4.2,2.6,4,2.3,5.8,3,3.5,4.4,2,2.6,3.5,1.6,2.7,2.5,3,6,5.2,4.5,4.5,4.2,3.2,1.5,0.9,2,3.4,3.4,2.8,1.9,3.7,1.5,1.7,3.3,2,2.2,3.6,3.2,4.2,2.4,2.8,1.4,5.2,2.2,4.7,2.8,1.3,6.7,1.2,2.4,4.4,5.2,1.6,4.3,2.4,3.2,3.1,1.5,1.5,3,6.2,4.4,4.3,0.9,0.9,2.4,1.5,2.6,2.9,2.74,4.66,4.6,5,4,4.8,2.45,4.5,2.2,3.5,7,2.4,3.85,4.5,2.3,3.8,3.5,3,5.9,3.2,4.2,0.6,1.5,3.2,5,3.2,1,,,,,,,,,
