"STOBO DAWYCK GARDENS",,,,,,,,,,,,
Grid ref,NT169352,Long,-3.320503,Lat,55.603291,,,,,,,
Station no,RR4325,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.78,5.10,1.47,3.93,3.97,,
February,,,,,,2.16,1.72,2.48,3.02,2.08,,
March,,,,,,6.13,2.52,2.85,6.55,5.18,,
April,,,,,,2.71,1.62,2.76,1.47,3.36,,
May,,,,,,1.36,5.75,4.02,2.53,2.50,,
June,,,,,,1.21,1.54,3.83,1.80,2.35,,
July,,,,,,2.69,2.34,2.79,1.83,3.91,,
August,,,,,,4.32,6.73,4.66,4.02,2.44,,
September,,,,,,1.85,0.67,0.73,4.58,2.65,,
October,,,,,1.58,3.00,4.28,7.72,1.08,6.97,,
November,,,,,2.28,4.33,3.80,2.52,2.29,1.68,,
December,,,,,3.88,1.88,2.97,4.63,1.01,4.98,,
Total,,,,,,33.42,39.04,40.46,34.11,42.07,,
Calc annual,0.00,0.00,0.00,0.00,7.74,33.42,39.04,40.46,34.11,42.07,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,-0.00,,
