PENRITH BROUGHAM,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY531288,Long,-2.7272,Lat,54.6522,Elevation,470,ft,,,,,,,,,,,,,,
Station no,3692/5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,3.2,4.05,5.27,2.39,2.41,2.79,5.18,4,4,6.74,,,3.24,,,,,,,,,
February,0.51,2.65,0.2,2.47,4.62,0.66,5.64,2.62,1.96,3.99,,,2.75,,,,,,,,,
March,1.9,4.27,4.13,1.95,2.01,0.9,1.37,1.84,3.6,3.51,,,1.11,,,,,,,,,
April,1.38,3.21,0.69,2.58,2.71,1.76,3.62,2.13,2.08,0.68,,,1.75,,,,,,,,,
May,1.41,4.52,1.64,1.28,2.77,3.93,4.31,1.78,1.92,1.2,,,2.33,,,,,,,,,
June,1.14,1.24,0.3,1.84,1.63,1.4,0.26,3.13,2.88,4.27,,,4.31,,,,,,,,,
July,0.93,4.27,2.05,3.81,2.25,3.27,1.9,2.96,3.59,3.31,,3.64,4.59,,,,,,,,,
August,2.59,1.31,4.33,2.17,7.4,1.66,3.14,4.13,7.55,7.02,,7.24,3.43,,,,,,,,,
September,1.33,2.26,1.3,2.51,3.27,4.52,3.66,4.41,6.7,1.43,,3.13,1.71,,,,,,,,,
October,1.96,2.06,2.26,0.82,6.13,3.19,4.18,3.83,3.9,6.25,,4.96,1.89,,,,,,,,,
November,2.6,2.61,1.86,1.3,4,2.88,1.03,6.58,2.07,6.34,,3.59,5.95,,,,,,,,,
December,5.08,2.8,4.25,6.98,3.55,6.65,4.39,0.47,1.06,2.15,,2.97,2.46,,,,,,,,,
Total,24.03,35.25,28.28,30.1,42.75,33.61,38.68,37.88,41.31,46.89,,,35.52,,,,,,,,,
