BROUGHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY531288,Long,-2.7272,Lat,54.6522,Elevation,470,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,,8.28,6.9,6.2,2.81,0.68,2.39,1.8,1.55,5.1,5.6,1,3.47,6.32,1.16,0.7,9.3,1.95,5.57,5.07,3.54,2.74,6.21,7.36,3.32,5.43,1.12,,2.68,0.98,0.65,0.38,2.1,4.67,5.9,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,1.8,3.92,1.17,1.65,1.01,2.57,1.81,0.3,2.35,1.1,3.15,0.78,2.9,1.24,0.45,3,2.95,3.45,6.11,3.69,2.71,4.98,1,2,0.22,2.64,,1.1,1.83,4.34,4.13,2.23,5.73,4.41,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,3.21,0.07,0.84,0.6,2.45,0.25,3.38,1.65,2.86,4.4,4.58,2.55,0.83,2.4,1.3,1.75,1.07,5.07,1.18,0.85,3.06,1.54,1.32,2.24,1.21,3.73,,2.15,1.97,1.43,2.91,2.7,2.97,3.31,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,1.91,0.63,1.88,0.51,0.62,1.35,1.82,0.5,1.51,2.23,0.82,1.98,2.1,1.35,0.7,2.9,3.78,2.73,0.5,1,2.17,1.43,0.57,2.73,0.79,2.11,,1.68,1.26,1.7,0.73,4.03,1.54,1.62,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,0.83,2.85,0.91,2.83,1.11,4.06,1.35,2.31,0.05,2.4,0.5,1.2,1.49,1.15,4.05,0.2,2.22,1.95,2.33,3.28,1.08,2.92,1.64,1.42,0.94,0.99,,3.94,1.34,1.18,2.08,0.84,0.68,2.13,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,2.21,3.33,3.34,4.38,2.1,2.14,3.35,2.66,1.35,4.72,1.89,3.31,3.51,1.7,0.45,4.15,1.55,0.84,2.09,1.92,2.72,2.3,1.54,1.25,3.43,2.4,,2.4,3.62,1.54,2.06,3.21,3.27,1.01,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,3.61,1.61,3.23,1.98,2.98,0.64,1.65,3.1,1.8,1.16,3.95,3.36,0.96,1.7,1.7,2.95,3.47,0.39,0.74,0.85,3.93,5.45,2.37,2.91,3.42,1.7,,0.51,4.02,4.74,3.55,4.43,3.99,5.42,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,3.04,5.08,2.25,3.27,3.57,3.36,3.5,3.54,3.26,4.25,3.97,2.61,2.91,,4.01,3.9,1.57,4.16,1.34,3.21,2.05,3.29,3.55,4.13,1.78,4.99,,4.28,3.59,1.14,4.23,2.92,2.63,1.44,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,3.14,2.4,2.51,1.36,0.87,3.4,2.07,3.27,3.72,0.72,5.62,1.85,5.38,3.08,0.48,6.15,3.22,1.13,6.64,3.57,2.8,4.39,1.33,5.57,3.86,1.18,,3.71,1.87,4.56,3.55,1.77,4.16,3.69,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,2.26,2.54,3.45,3.17,3.59,2.2,2.36,3.53,2.61,4.57,2.71,6.38,4.2,3.7,4.33,1.96,3,3.08,3.31,7.49,3.3,5.19,4.08,5.74,2.49,4.3,,3.98,1.07,1.07,2.14,2.61,4.52,2.17,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
