LULLINGTON,,,,,,,,,,
Grid ref,ST782518,Long,-2.31324,Lat,51.26513,Elevation,200,ft,,
Station no,1962/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,3.97,2.37,2.87,0.96,4.57,5.67,4.52,,
February,,0.15,2.42,0.15,2.7,2.45,6.49,1.16,,
March,,2.14,3.29,2.67,0.95,2.85,3.99,0.1,,
April,,3.42,1.09,1.76,4.69,2.24,2.51,0.08,,
May,,4.99,2.06,1.28,1.38,0.91,2.65,1.73,,
June,,1.62,1.42,1.8,3.89,3.06,1.21,1.7,,
July,,5.77,3.7,2.32,0.5,5.91,2.79,3.09,,
August,,0.91,1.14,2.51,1.89,0.44,0.9,2.85,,
September,1.76,4.32,2.44,3.12,4.89,4.19,2.37,3.07,,
October,0.82,6.3,2.85,2.43,4.71,2.14,4.04,6.81,,
November,4.17,2.22,0.58,1.41,5.76,3.84,1.88,5.81,,
December,1.18,1.66,0.76,7.92,4.26,3.22,2.93,4.03,,
Total,,37.47,24.12,30.24,36.58,35.82,37.43,34.95,,
,,,,,,,,,,
1931 Aug 10 Gauge moved from Frome Fromefield Stn No 1957,,,,,,,,,,
Unknown exact cottage but few are SW of church ,,,,,,,,,,
Elevation at 200ft low for SW of church 230ft lowest SE matches elevation better,,,,,,,,,,
1939 Station terminated on death of observer,,,,,,,,,,
