CARDIFF-WW-BLAEN-NANT-DDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO014173,Long,-3.4327371,Lat,51.845562,Elevation,1550,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4153/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,12.45,7.38,9.41,2.9,8.62,11.55,12.33,13.88,4.62,5.8,5.78,10.66,7.33,3.55,8.74,4.88,13.48,2.48,2.52,7.78,4.02,,,,,,,,
February,,0.05,5.68,0.74,7.09,3.91,12.29,3.31,7.16,6.45,9.12,0.49,3.19,1.46,7.65,4.82,2.5,4.1,3.02,10.32,5.97,0.83,,,,,,,,
March,,3.75,6.08,6.41,1.91,4.93,5.3,1.54,4.13,6.45,6.42,4.77,1.3,0.41,3.16,2.18,11.97,4.13,2.7,4.15,,,,,,,,,,
April,,6.8,2.51,5.15,8.57,5.74,5.87,0.46,5.98,5.75,2.53,2.23,1.87,3.62,3,2.73,4.75,3.17,5.51,4.49,5.09,,,,,,,,,
May,,8.95,2.08,4.72,2.31,2.54,3.53,6.19,1.43,2.75,4.21,7.25,4.85,2.52,5.37,4.37,3.39,4.53,5.3,3.17,4.36,,,,,,,,,
June,7.45,2.25,3.99,2.78,7.45,5.04,3.72,5.86,6.08,1.23,2.29,0.26,5.68,3.95,6.73,8.83,3.52,6.35,0.9,3.63,2.03,,,,,,,,,
July,7.3,7.84,5.26,2.12,1.41,11.04,5.09,5.82,18.08,5.05,4.57,4.91,3.7,4.53,5.12,3.56,4.14,2.6,1.83,7.02,1.63,,,,,,,,,
August,7.25,3.42,1.62,5.58,2.31,1.97,1.58,5.38,4.57,0.82,7.38,8.16,5.9,5.69,4.35,10.04,0.84,6.68,3.75,9.53,10.04,,,,,,,,,
September,3.16,7.15,2.41,5.76,8.09,5.19,4.15,3.39,1.42,4.16,1.64,5.98,5.86,6.56,5.54,10.02,3.23,8.65,3.8,9.07,7.08,,,,,,,,,
October,2.4,12.05,,6.97,8.36,5.89,5.76,11.21,6.49,8.05,,5.12,5.83,8.4,7.12,1.48,1.44,6.14,12.32,3.53,1.77,,,,,,,,,
November,17.58,5.61,2.11,5.78,10.09,7.29,4.18,11.93,17.08,21.63,4.34,1.27,4.49,10.9,0.85,14.41,7.38,3.65,8.08,8.45,12.73,,,,,,,,,
December,4.23,4.31,3.52,16.85,6.28,10.78,7.49,7.31,4.59,4.7,4.48,9.65,2.7,2.24,9.4,6.56,6.04,11.15,6.55,2.52,6.58,,,,,,,,,
Total,,74.63,,72.27,66.77,72.94,70.51,74.73,90.89,71.66,,55.87,56.03,57.61,61.84,77.74,54.08,74.63,56.24,68.4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is beside the stream Nant Ddu. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not sure what the Blaen refers to.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
