"KIRKFELL HOUSE, HIGH LORTON, COCKERMOUTH",,,,,,,,,,,,,,,,,,,,,
Grid ref,NY163258,Long,-3.2977605,Lat,54.62038,Elevation,403,ft,,,,,,,,,,,,,
Station no,3643/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.12,8.05,4.57,7.36,5.25,7.24,2.44,4.85,8.6,6.39,4.67,
February,,,,,,,,,,0.95,0.57,3.59,0.11,4.22,0.26,6.6,3.46,7.45,1.73,6.14,
March,,,,,,,,,,0.71,2.54,0.94,3.19,3.53,2.72,1.06,1.74,2.78,3.26,3.17,
April,,,,,,,,,,1.54,1.63,2.04,3.18,1.61,3.6,3.44,0.86,3.84,0.5,2.5,
May,,,,,,,,,,3.03,1.76,3.08,2.97,2.54,4.36,0.91,1.01,1.77,5.09,1.46,
June,,,,,,,,,,2.02,3.21,6.74,1.53,3.12,3.06,3.49,3.69,3.46,6.7,3.67,
July,,,,,,,,,,6.09,4.01,7.15,6.1,4.06,1.58,2.12,4.77,3.75,7.91,5.73,
August,,,,,,,,,,6.53,9.03,4.96,2.24,3.07,5.9,3.72,1.79,3.23,3.8,2.3,
September,,,,,,,,,,2.15,2.57,2.79,6.25,1.03,4.97,6.37,5.67,5.27,3.3,2.81,
October,,,,,,,,,,7.47,8.3,4.36,6.82,3.51,7.04,6.83,6.28,3.5,11.84,2.43,
November,,,,,,,,,,11.18,4.7,8.62,2.81,1.76,1.39,4.35,8.44,1.57,7.86,5.33,
December,,,,,,,,,,8.56,4,4.16,7.55,0.64,6.5,2,9.62,3.7,4.55,4.1,
Total,,,,,,,,,,51.35,50.37,53,50.11,34.34,48.62,43.33,52.18,48.92,62.93,44.31,
