SKYE KYLEAKIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NG746270,Long,-5.74,Lat,57.278,Elevation,28,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5755,RR84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,
January,,,,,,,,,8.14,9.98,3.7,5.6,7.02,11.4,11.35,10,21.15,4.2,13.75,9.55,1.9,10.25,10.4,12.2,13.3,8.65,7.68,9.71,7.88,3.35,8.25,1.4,8.41,8.56,10.17,3.8,6.3,10.7,5.95,8.15,13.8,5.3,4.8,8.6,10.25,2.35,7.73,1.81,7.15,3.75,8.74,3.09,5.43,8.07,6.35,3.82,7.53,4.68,6.65,5.16,5.73,3.85,3.7,4.93,4.56,5.35,7.38,2.08,4.17,4.25,10.02,11.08,4.79,8.68,5.16,,7.41,12.07,10.22,2.76,9.87,,,,,,,,,,,,,,,,,,
February,,,,,,,,,2.74,5.47,4.35,9.65,3.15,7.45,9.05,4.11,10.49,11.62,30.7,14.25,3.87,5.7,8.8,1.35,5.2,3.75,6.81,11.68,3.83,2.75,8.4,3.08,5.78,6.22,8.4,8.57,4.6,10.4,2.35,5.65,0.55,5.4,1.3,8.6,10.08,0.26,4.62,8.13,5.63,2.83,2.24,2.01,1.84,9.51,3.84,5.84,5.45,5.07,3.46,1.56,3.58,7.22,4.32,3.58,7,4.38,5.68,1.04,11.03,0.63,9.74,2.41,8.25,3.42,1.23,,3.95,3.74,3.4,1.54,0.95,,,,,,,,,,,,,,,,,,
March,,,,,,,,,5.02,7.02,4.84,12.95,1.45,3.05,3.9,6.35,5.25,1.2,17.1,4.55,2.1,5.15,2.4,3.45,9.35,3.98,11.6,8.01,4.63,4.65,3.47,3.87,11.16,3.39,4.5,4.3,2.3,3.05,3.1,5.7,8.05,2.57,1.75,5.65,14.32,5.07,9.64,7.15,3.5,3.03,0.48,1.71,5.94,11.03,2.95,6.32,3.04,4.13,5.67,0.47,3.66,3.86,4.23,7.39,2.98,2.31,0.78,2.13,2.87,3.44,7.29,10.64,3.62,0.9,0.52,,4.39,6.67,4.52,1.36,3.66,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.7,6.19,1.7,0.13,4.63,6.9,4.97,4.7,3.25,10.22,4.18,3.45,8.6,1.75,2.85,1.6,10.6,2.55,5.35,2.7,4.4,1.37,4.33,1.03,3.09,1.92,0.85,3.1,4.47,3.45,2.95,2.05,1.07,0.8,2.5,3.1,0.97,3.93,4.63,3.04,2.79,4.1,2.92,1.82,2.79,1.71,6.65,2.8,2.58,3.1,1.84,2.12,6.06,5.85,3.3,5.76,4.05,4.61,2.47,2.58,2.27,4.45,1.69,1.92,2.35,4.19,2.77,,2.47,8.32,3.16,1.94,1.63,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.68,0.46,2.65,1.8,4.9,2.8,1.69,8.4,2.48,4.54,6.8,0.5,8.9,1.15,4.6,3.53,3.55,6.65,2.7,5.38,3.9,2.53,1.8,2.63,3.6,2.39,5.8,2.73,3.7,3,4.95,3.65,0.88,2.3,6.75,3.45,2.9,1.49,0.86,3.36,1.34,1.33,2.36,0.84,3.34,2.48,4.15,2.96,4.32,3.45,2.68,1.95,3.67,4.37,2.51,2.71,1.93,1.11,2.15,3.19,2.94,0.87,4.51,4.03,4.92,4.03,2.16,,2.96,3.7,0.85,4.73,3.66,,,,,,,,,,,,,,,,,,
June,,,,,,,,,4.91,1.65,1.85,1.65,5.59,5.15,6.55,3.42,1.95,11.39,10.65,1.5,2.3,0.4,5.83,4.72,6.85,4.15,7.23,9.52,4.35,2.83,1.6,5.52,5.38,1.9,1.55,4.35,2.1,2.15,2.85,0.9,5.96,3.45,5.05,2.05,2.46,3.02,3.5,1.7,3.62,1.52,2.5,3.09,1.45,1.62,3.13,1.32,1.76,5.37,3.81,0.98,2,3.13,3.74,4.12,2.47,0.84,1.83,2.83,2.83,7.17,2.28,1.43,3.14,3.31,3.41,,1.38,5.48,3.18,4.18,4.5,,,,,,,,,,,,,,,,,,
July,,,,,,,,,4.63,1.83,0.5,2.35,5.45,1.35,3.37,5.25,3.25,3.5,2.05,3.55,3.1,4.35,4.4,4.85,4.85,3.45,6.38,5.91,1.67,3.55,3.05,6.84,4.26,1.88,4.68,2.65,5.2,5.45,3.55,1.2,4.64,4.2,4.55,4.15,7.82,3.82,2.6,2.83,3.91,1.84,2.79,2.77,2.05,4.86,1.93,3.3,4.77,2.27,1.23,2.53,3.39,4.4,3.4,0.8,1.91,4.12,2.48,1.34,6.27,1.42,4.21,3.19,3.34,4.14,4.12,,2.54,2.76,4.99,4.59,2.16,,,,,,,,,,,,,,,,,,
August,,,,,,,,,1.89,5.23,1.58,8.06,3.3,10.04,5.4,6.32,5.57,3.65,7.85,1.9,0.25,3.35,2.35,6.85,8.5,7.25,1.8,4.1,3.93,4.28,2.1,4.74,2.7,5.97,2.98,2.25,3.9,5.3,6.45,7.9,6.58,4.45,10.45,5.27,7.97,3.34,4.68,2.26,6.45,0.71,3.3,4.59,3.13,6.52,5.92,5.21,3.72,4.23,1.81,2.42,5.44,3.32,2.83,1.51,4.4,2.46,2.14,3.31,5.55,4.27,2.88,3.23,3.41,6.72,5.02,,4.47,4.58,3.59,7.74,9.51,,,,,,,,,,,,,,,,,,
September,,,,,,,,,5.34,7.07,4.6,6.98,4.35,11.92,10.16,7.5,9.68,8.25,2.4,9.9,4.85,1.95,7.5,5.95,15.5,5.5,4.8,4.05,9.9,8.95,4.38,1.77,6.43,2.98,4.25,9.65,7,5.95,2.95,3.75,3.67,6,11.7,6.65,0.22,5.11,6.53,4.64,3.51,6.42,4.34,2.97,3.91,4.37,4.67,4.84,3.13,2.01,6.12,1.23,1.52,4.5,1.9,2.24,3.08,1.86,1.9,5.62,6.21,5.41,3.38,4.35,2.64,6.46,7.04,,6.26,3.94,5.12,5.06,2.87,,,,,,,,,,,,,,,,,,
October,,,,,,,,,5.21,5.54,7.8,6.53,12.95,3.69,6.09,5.18,6.02,14.86,10.6,6.45,5.3,13.25,7.6,9.25,16.65,5.4,8.1,12.28,8.21,3.48,2.15,3.56,4.17,7.98,9.15,5.93,6.42,8.45,8.35,3.5,9.3,3.9,6.45,8.34,1.82,6.93,4.58,2.17,3.42,4.14,5.53,6.4,5.09,8.7,3.75,4.42,5.47,3.52,1.96,6.31,1.99,2.62,4.69,4.87,2.52,1.79,6.43,10.55,8.7,3.15,1.78,5.73,2.78,9.56,5.08,,4.92,6.68,6.67,7.56,8.29,,,,,,,,,,,,,,,,,,
