PETERBOROUGH-SEWAGE-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL206981,Long,-0.22072,Lat,52.56746,Elevation,9,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1138/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.39,2.48,2.3,3.57,1.75,2.53,2.03,3.44,1.65,1.4,1.52,1.63,3.23,0.99,0.82,2.21,1.31,1,0.81,2.07,3.7,0.87,2.23,2.57,3.2
February,,,,,,2.22,2.47,0.81,0.31,2.14,1.63,0.88,0.43,1.09,1.47,1.46,1.58,0.52,0.62,3.15,2.56,0.41,1.7,1.94,2.34,0.58,2.21,3.04,0.12,2
March,,,,,,1.14,3.07,0.18,1.47,1.94,3.38,1.38,0.68,0.14,0.59,0.58,4.3,0.4,0.95,0.8,2.88,2.55,0.66,2.21,2.02,0.44,1.37,1.34,1.67,1.6
April,,,,,,1.82,2.25,0.08,2.08,1.3,0.89,0.64,0.78,1.89,0.93,0.83,1.82,1.1,1.36,2.06,2.63,1.2,1.58,0.21,0.59,0.88,0.24,0.8,2.16,0.17
May,,,,,,0.5,3.42,1.91,0.65,1.65,2.17,2.07,1.92,0.75,2.08,1.91,0.62,3.28,2.1,3.69,2.85,1.6,1.58,3.04,2.48,0.77,1.38,2.42,0.69,1.02
June,,,,,,4.21,1.4,1.08,2.03,0.62,1.03,0.6,1.63,2.07,1.66,3.06,3.18,2.94,0.85,1.48,0.91,1.24,3.27,2.04,2.26,2.04,1.99,5.07,0.27,2.39
July,,,,,,5.92,1.94,1.5,2.66,2.22,3.18,2.51,0.77,2.04,1.65,1.54,2.5,1.09,2.14,3.12,0.77,0.34,1.76,2.07,0.2,2.55,3.69,2.84,2.58,3.19
August,,,,,,0.25,0.77,2.5,2.59,0.27,3.76,1.67,1.97,2.04,2.19,3.02,0.03,2.69,1.8,2.37,4.5,2.73,2.04,4.25,1.04,3.96,2.02,1.99,1.3,2.02
September,,,,,,1.77,0.96,1.92,1.09,0.38,0.52,1.1,1.38,3.32,1.33,1.37,0.86,1.85,0.39,2.69,1.53,2.22,0.58,1.74,1.65,1.27,3.81,2.62,0.01,2.82
October,,,,,,1.06,2.2,1.92,3.63,1.93,1.92,1.99,1.14,2.52,2.21,1.7,0.16,2.89,3.3,0.42,0.9,2.2,1.88,1.78,1.59,0.9,0.85,1.71,1.05,3.74
November,,,,,,1.63,1.44,1.68,3.06,5.64,2.92,2.44,1.04,2.54,0.41,3.88,1.17,1.22,2.35,3.6,3.01,2.61,1.36,4.33,0.85,0.65,1.6,1.34,1.38,3.06
December,,,,,,1.56,2.19,3.19,1.65,1.33,0.57,1.57,0.65,0.98,2.2,2.19,1.48,1.67,1.17,1.1,1.3,1.62,0.46,2.01,1.29,1.67,1.81,2.11,3.5,2.97
Total,,,,,,24.47,24.59,19.07,24.79,21.17,24.5,18.88,15.83,21.03,18.12,23.06,19.33,22.88,18.02,25.3,26.05,20.03,17.87,26.43,18.38,19.41,21.84,27.51,17.3,28.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Sep IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
