FEWSTON TIMBLE INGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE156526,Long,-1.763683,Lat,53.969241,Elevation,912,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.61,5.22,4.79,2.19,2.19,2.82,3.52,1.87,4.81,1.64,2.5,1.54,4.07,1.05,3.61,3.55,2.34,5.4,3.07,2.34,3.18,3.86,4.54,5.72,4.07,2.76,2.37,4.15,3.54,3.64,8.25,1.92,6.08,2.94,3.63,1.83,2.95,2.25,5.42,5.61,6.05,5.91,3.01,4.66,6.54,5.36,5.37,4.81,4.19,3.1,8.85,1.9,2.61,3.65,5.38,1.24,2.99,2.41,5.17,3.23,3.34,4.18,5.81
February,,,,,,,,,2.99,1.88,5.6,1.18,1.37,4.44,3.5,2.7,2.31,2.29,2.66,1.65,3.81,4.31,2.12,1.68,1.82,4.19,4.45,0.81,4.4,1.8,2.98,0.44,3.6,5.56,1.16,5.8,3.42,1.57,4.15,0.87,1.09,3.89,0.32,5.7,0.28,5.94,3.36,7.11,2.57,3.96,2.42,6.34,1.79,2.83,2.24,5.37,3.69,4.14,2.69,2.76,7.18,4.65,1.23,3.18,3.2,2.63,2.32,2.83,8.93,0.49,3.31
March,,,,,,,,,0.68,1.69,0.66,1.76,1.83,4.95,2.25,3.29,2.34,3.23,4.16,2.78,0.56,1.86,4.2,4.6,3.84,1.03,2.85,2.7,1.34,3.24,2.81,2.31,2.63,1.62,1.35,1.2,1.97,2.98,2.85,0.46,1.84,0.4,2.76,2.29,2.99,1.48,2.97,4.11,1.34,2.81,2.84,4.2,3.32,1.05,0.59,1.61,1.75,5.98,2.11,1.94,1.61,4.47,2.76,1.27,2.26,2.43,1.86,3.36,2.18,1.49,2.31
April,,,,,,,,,3.02,3.04,1.99,3.14,1.85,1.94,2.76,2.87,0.76,2.67,2.54,3.28,2.76,1.32,1.07,3.91,1.32,1.43,2.53,1.66,0.83,1.91,4.78,1.39,3.16,2.49,1.9,3.53,1.61,3.15,1.11,1.59,3.79,4.05,3.23,1.62,3.61,2.76,1.89,3.05,0.51,1.83,3.02,2.64,1.59,2.44,3.88,3.09,1.6,3.77,3.04,3.46,3.7,1.72,2.13,2.98,0.75,1.5,2.85,0.4,0.86,4.24,2.1
May,,,,,,,,1.15,2.52,3.76,2.01,1.29,3.1,3.69,3.16,0.73,3.19,4.07,3.06,1.96,1.86,1.2,2.37,3.09,1.58,2.06,2.53,2.84,4.07,1.7,4.41,2.29,1.18,3.83,4.98,5.77,3.11,1.83,2.15,1.75,1.74,3.45,4.7,3.09,2.24,1.64,1.92,3.16,3.28,0.91,2.15,1.79,3,2.85,1.76,3.26,2.9,3.31,1.19,2.18,2.86,5.26,2.32,1.73,3.66,3.76,1.63,1.46,5.32,1.47,1.38
June,,,,,,,,3.89,2.48,1.54,3.81,1.39,2.31,1.95,2.29,2.16,1.22,5.77,1.21,2.47,2.88,3.51,6.39,1.85,2.61,1.12,2.45,2.15,1.09,1.04,1.9,0.1,1.9,1.08,2.39,0.02,4.38,3.51,6.71,1.27,2.34,7.16,1,3.22,2.14,3.52,4.6,3.1,3.8,2.92,0.56,0.3,1.3,2.9,2.73,4.49,2.53,3.96,3.67,0.91,1.7,1.27,3.04,1.99,2.14,2.73,3.18,1.89,5.46,1.54,1.52
July,,,,,,,,1.1,1.95,2.49,4.4,1.73,3.32,5.29,2.67,1.3,2.53,2.63,4.45,5.12,3.07,0.74,4.52,0.71,3.68,4.18,2.72,1.78,5.46,2.56,6.9,2.17,5.2,3.74,5.06,1.42,3.02,4.04,1.34,3.28,5.28,4.76,4.61,2.48,1.96,1.9,4.83,2.78,3.52,5.86,5.17,2.11,2.76,2,4.26,2.74,3.71,2.01,1.95,2.91,3.92,2.5,2.25,4.8,2.38,1.26,5.99,3.35,4.83,2.81,5.89
August,,,,,,,,4.76,4.15,1.45,5.46,1.96,3.47,5.93,3.89,4.47,4.23,2.95,2.91,3.46,5.68,2.16,6.42,2.04,2.14,3.15,2.2,7.9,3.17,2.46,1.94,4.71,5.32,5.1,4.4,3.61,4.68,8.21,4.59,3.34,4.33,4.16,1.47,0.56,2.08,2.32,2.94,1.12,4.09,1.58,1.78,4.46,3.54,4.54,3.33,4.18,5.7,0.8,4.81,2.83,6.78,6.38,5.58,5.06,7.36,1.22,8.26,5.09,3.97,0.64,3.43
September,,,,,,,,3.64,1.3,5.08,1.19,1.17,1.54,4.97,1.21,2.77,0.7,0.93,4.99,2.63,0.27,3.33,2.18,1.48,1.74,0.63,2.63,1.68,8.43,1.71,1.49,1.46,3.91,4.18,4.31,2.88,2.47,4.73,0.74,0.75,4.01,5.23,4.07,2.03,2.26,6.48,3.88,1.86,2.38,1.84,3.21,0.59,2.71,4.75,6.33,2.35,6.91,1.99,2.97,1.53,6.04,3.24,4.96,3.32,3.36,2.13,5.61,5.27,4.54,0.26,3.54
October,,,,,,,,1.89,5.72,3.18,4.84,2.2,4.01,9.4,1.48,2.72,5.52,7.26,2.51,2.93,4.19,3.28,3.89,2.21,2.61,1.41,7.28,4.78,2.72,2.81,2.97,2.66,1.11,5.15,3.95,4.37,4.11,4.21,5.12,4.49,4.25,1.46,5.39,3.93,4.27,8,3.1,2.63,7.41,5.12,3.78,5.83,3.75,2.32,3.9,5.81,1.75,1.62,2.52,4.69,2.56,1.35,4.42,2.61,5.93,3.08,2.18,4.63,2.85,3.83,7.01
