MONIKIE RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO502383,Long,-2.810502,Lat,56.534517,Elevation,481,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.25,2.07,4.79,3.7,3.28,6.89,1.8,6,3.18,2.44,1.88,1.81,1.54,3.79,4.26,2.06,4.86,2.46,3.14,1.71,3.44,1.42,2.42,2.35,3.51,4.11,1.03,2.17,1.23,4.68,4.88,1.92,1.03,4.9,2,0.34,1.99,1.28,2.4,1.6,1.41,0.81,3.54,3.68,1.5,2.66,2.04,1.74,2.5,3.34,2.18,4.61,4.38,1.81,3.3,1.73,5.06,1.59,4.3,1.69,2.07,,,,,,,,,,,,,,,,2.12,3.73,4.95,1.42,1.51,4.12,1.72,0.6,1.9,1.5,3.97,3.18,2.38,1.31,6.4
February,2.8,5.55,6.94,1.63,1.45,3.5,6.3,2.2,1.74,4.69,2.98,5.54,2.34,3.35,2.4,3.77,2.31,1.79,1.34,2.6,1.75,0.29,3.47,4.13,4.48,2.22,1.24,1.22,0.68,3,3.68,1.59,1.73,2.81,4.66,0.78,0.8,1.01,0.48,0.92,1.85,1.16,2.92,0.74,2.7,4,2.98,1.54,2.28,2.63,2.02,0.43,2.74,5.14,1.23,4.19,5.37,1.57,1.5,2.5,1.4,,,,,,,,,,,,,,,,1.53,4.1,3.55,1.5,2.4,3.26,0.62,1.03,3.5,2.15,1.75,4.25,2.82,0.3,2.85
March,1.15,1,3.75,2.38,1.4,3.09,2.9,2.59,1.1,3.27,2.22,3.87,3.14,2.79,3.32,3.22,5.52,1.46,5.48,1.78,2.62,2.75,1.42,1.2,0.78,4.12,1.69,4.5,0.81,2.6,2.34,1.66,1.15,2.54,2.03,3.13,1.23,1.75,3.72,4.7,1.49,1.1,2.37,3.73,4.42,2.39,3.46,2.02,1.38,1.71,1.9,2.34,2.3,1.59,0.98,1.46,1.02,3.04,5,1.14,1.8,,,,,,,,,,,,,,,,2.65,4.8,0.85,1.83,2.73,2.9,3.35,0.28,3.06,2.12,1.61,2.56,7.7,1.55,2.77
April,0.45,7.1,2.64,0.23,1.14,0.95,5.17,3.43,2.43,3.47,3.69,0.68,5.98,1.84,2.31,3.05,1.58,2.61,1.78,5.09,0.95,1.11,0.94,1.57,1.81,1.67,1.3,2,6.7,4.17,1.58,2.15,2.28,1.18,1.48,2.46,1.12,2.36,0.78,3.57,2.56,1.1,0.12,2.62,0.78,0.72,2.1,1.32,0.89,2.53,2.09,1.31,1.81,2.84,1.98,3.85,3.37,0.9,0.95,0.48,2.27,,,,,,,,,,,,,,,,0.43,2.55,1.28,1.72,1.93,2.38,1.17,2.75,1.1,0.9,0.98,1.08,2.08,2.68,2.96
May,1.8,1.16,3.65,3.85,4.1,1.24,0.5,3.1,2.71,2.51,0.98,2.23,2.85,1.49,2.28,4.68,4.17,1.27,2.47,1.76,3.18,2.38,3.91,1.69,4.68,0.55,1.08,1.86,2.45,4.72,2,2.33,2.78,1.95,2.55,1.41,5.52,5.41,1.84,2.61,1.54,1.01,1.69,3.5,1.65,1.09,3.41,2.21,3.44,1.14,3.64,3.27,1.02,2.05,4.63,3.62,2.22,2.42,1.7,2.8,1.89,,,,,,,,,,,,,,,,2,5.1,3.59,1.4,1.73,1.82,2.33,2.03,3.51,2.25,0.64,2.08,2.93,0.94,1.61
June,1.91,2.11,4.7,1.64,1.2,4.92,3.07,3.45,3.2,5.48,1.44,3.29,5.06,3.16,0.45,0.72,1.54,0.72,2.97,1.16,3.92,0.69,3.83,2.63,2.24,2.03,2.91,5.83,1.7,1.98,2.05,2.05,1.53,2.28,0.79,1.04,1.67,4.81,1.2,1.49,1.56,0.96,3.38,1.49,0.49,0.92,3.34,0.98,1.17,1.57,0.98,0.86,1.79,0.86,2.25,0.87,3.25,2.43,4.4,1.72,2.12,,,,,,,,,,,,,,,,3.23,2.8,4.48,1.2,1.52,2.46,2.38,1.15,2.5,1.23,3.65,1.24,2.2,2.32,2.61
July,1.98,5.9,1.6,5.97,2.45,3.45,1.5,5.1,0.85,6.2,3.68,3.39,4.82,5.78,6.07,0.87,4.61,2.67,6.27,3.61,4.82,3.81,2.14,3.18,3.88,4.41,4.28,1.68,0.65,2.07,4.33,0.84,3.07,5.43,1.28,1.5,1.36,2.21,2.45,3.45,5.11,1.3,2.62,0.81,2.47,3.97,6.98,2.03,4.29,0.78,2.26,2,4.49,2.4,4.98,1.7,3.13,1.95,1.1,4.85,2.5,,,,,,,,,,,,,,,,3.25,2.08,3.6,2.48,4.54,3.85,2.3,4.19,2.97,1.07,5.27,5.25,5.3,2.35,3.39
August,2.5,2.7,2.99,3.6,8.76,3,3,8.25,7.54,5.6,0.79,4.91,2.64,4.26,2.61,2.81,1.61,4.89,2.37,8.06,3.22,5.13,5.82,3.94,5.88,4.62,2.14,4.92,3.9,0.68,4.8,5.02,3.16,4.39,5.79,4.87,4.83,3.95,1.91,1.97,7.55,1.42,3.85,1.53,2.8,2.58,4.43,6.07,2.48,2.43,5.34,3.48,2.06,5.53,3.26,2.51,3.13,4.49,5.16,3.89,7.02,,,,,,,,,,,,,,,,4.83,0.31,7.2,2.85,3.4,4.48,3.5,1.92,2.9,0.34,5.3,4.33,3.02,0.68,3.77
September,3.15,2.63,4.9,4.65,4,4.5,4.95,2.42,3.83,2.89,3.93,5.43,3.76,3.31,2.58,3.69,3.08,3.81,0.52,0.58,2.83,5.78,1.61,2.38,0.29,0.93,5.12,1.68,2.12,4.2,3.12,1.43,1.65,3.08,3.27,1.85,1.3,1.24,6.46,1.44,0.83,1.18,1.25,2.7,0.57,1.36,1.47,1.59,4.05,1.41,2.32,1.31,2.76,2.68,4.17,3.38,3.98,5.36,2.6,0.57,6.48,,,,,,,,,,,,,,,,5.1,2.55,2.68,1.75,6.5,2.3,1.25,2.69,3.34,1.55,4.25,1.8,3,0.7,2.53
October,3.8,5.1,4.4,3.1,3.1,8.6,4.72,4.4,3.27,0.8,1.83,5.06,5.09,2.23,1.96,1.88,5.02,0.89,2.33,3.68,2.38,3.28,5.62,3.09,5.34,1.91,3.26,2.94,5.9,1.08,3.36,2.55,1.54,5.97,1,2.46,4.26,5.47,3.56,3.72,1.8,2.02,6.76,1.92,2.93,2.98,4.76,2.77,2.69,1.94,2.67,2.14,1.67,2.68,4.74,2.33,5.28,5.68,4,2.92,3.8,,,,,,,,,,,,,,,,0.48,1.87,3.51,4.5,1.39,0.58,2.67,1.42,5.96,2.24,1.46,2,1.77,2.6,8.45
