"CRAIGTON",,,,,,,,,,,,
Grid ref,NO512382,Long,-2.795006,Lat,56.533270,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.88,1.92,1.03,4.90,2.00,0.34,1.99,1.28,2.40,1.60,,
February,3.68,1.59,1.73,2.81,4.66,0.78,0.80,1.01,0.48,0.92,,
March,2.34,1.66,1.15,2.54,2.03,3.13,1.23,1.75,3.72,4.70,,
April,1.58,2.15,2.28,1.18,1.48,2.46,1.12,2.36,0.78,3.57,,
May,2.00,2.33,2.78,1.95,2.55,1.41,5.52,5.41,1.84,2.61,,
June,2.05,2.05,1.53,2.28,0.79,1.04,1.67,4.81,1.20,1.49,,
July,4.33,0.84,3.07,5.43,1.28,1.50,1.36,2.21,2.45,3.45,,
August,4.80,5.02,3.16,4.39,5.79,4.87,4.83,3.95,1.91,1.97,,
September,3.12,1.43,1.65,3.08,3.27,1.85,1.30,1.24,6.46,1.44,,
October,3.36,2.55,1.54,5.97,1.00,2.46,4.26,5.47,3.56,3.72,,
November,4.94,1.90,3.45,1.22,0.94,5.22,4.64,2.37,1.83,0.38,,
December,3.94,3.34,3.08,2.47,1.89,1.31,1.85,3.37,2.59,3.32,,
Total,41.02,26.78,26.45,38.22,27.68,26.37,30.57,35.23,29.22,29.17,,
Calc annual,41.02,26.78,26.45,38.22,27.68,26.37,30.57,35.23,29.22,29.17,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
