Lindal Moor Mines - Pennington,,,,,,,,,,,,,,,,,,,,
Grid ref,SD251764,Long,-3.1490326,Lat,54.177894,Elevation,400,ft,,,,,,,,,,,,
Station no,RR6955,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,5.34,2.6,5.19,2.14,3.67,2.41,4.12,2.05,4.26,5.78,2.95,4.99,4.47,,,
February,,,,,3.48,2.17,3.55,2.37,2.59,2.82,6.37,5.66,2.77,2.25,4.41,6.28,3.71,,,
March,,,,,3.68,3.37,3.38,4.47,3.57,3.67,2.37,2.15,5.51,3.86,5.2,2.5,1.25,,,
April,,,,,3.44,4.34,2.09,2.72,1.96,4.43,2.88,3.4,1.52,4.96,0.96,2.62,3.49,,,
May,,,,,2.21,1.11,6.07,4.66,4.82,2.52,2.75,2.06,1.83,3.39,2.83,1.65,4.81,,,
June,,,,,1.72,2.68,3.26,8.36,2.62,2.06,3.71,2.78,5.26,2.76,1.4,1.05,3.65,,,
July,,,,,3.61,1.94,3.02,2.95,4.93,6.86,4.75,0.74,3.26,1.93,6.44,5.05,3.35,,,
August,,,,,3.92,6.01,4.52,4.51,3.97,4.18,6.69,4.11,7.58,1.99,4.32,3.96,2.15,,,
September,,,,,3.24,3.32,2.26,0.95,6.81,3.63,1.39,4.9,3.41,2.48,4.19,1.89,4.12,,,
October,,,,,3.03,4.25,6.23,7.55,3.09,7.27,1.47,4.77,6.36,3.58,2.28,1.78,7.35,,,
November,,,,,4.14,5.16,3.64,5.24,4.23,2.06,8.4,4.61,4.51,4.77,5.66,2.33,4.7,,,
December,,,,,3.86,1.77,5.26,6.72,4.27,8.16,5.52,8.09,4.75,3.44,6.14,7.57,4.01,,,
Total,,,,,41.67,38.72,48.47,52.64,46.53,50.07,50.42,45.32,51.02,41.19,46.78,41.67,47.06,,,
,,,,,,,,,,,,,,,,,,,,
"Gauge moved here, 100yards N of the Berkune Mines, in 1904",,,,,,,,,,,,,,,,,,,,
