CLAYTON LE MOORS OAKENSHAW,,,,,,,,,,,,,,,,,,,,
Grid ref,SD744315,Long,-2.3899612,Lat,53.779195,Elevation,325,ft,,,,,,,,,,,,
Station no,RR6772,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,2.15,6.12,2.92,1.6,1.95,5.26,2.66,4.34,0.94,,,,,,
February,,,,,,3.45,0.73,1.17,1.1,2.35,0.75,0.34,2.97,5.85,,,,,,
March,,,,,,2.98,2.88,2.53,2.4,3.16,3.4,2.17,0.98,1.26,,,,,,
April,,,,,,2,2.78,2.42,2.9,2.37,1.15,2,2.05,0.25,,,,,,
May,,,,,,2.26,4.17,2.27,0.91,3.52,2.53,2.7,4.37,2.65,,,,,,
June,,,,,,3.39,2.92,0.69,1.4,1.53,3.89,1.09,4.33,2.72,,,,,,
July,,,,,,1.98,4.34,1.8,7.3,2.96,3.91,2.89,2.08,4.38,,,,,,
August,,,,,,2.01,2.11,2.1,4.05,6.69,5.33,7.51,5.64,2.97,,,,,,
September,,,,,,4.38,3.7,5.93,1.16,4,3.17,4.08,4.91,5.78,,,,,,
October,,,,,,5.4,4.6,2.33,2.49,3.25,3.56,3.38,4.73,3.9,,,,,,
November,,,,,,3.23,3.84,2.32,4.6,1.98,7.58,3.98,2.42,4.5,,,,,,
December,,,,,,2.32,6.46,2.76,2.63,3.41,0.5,8.39,2.65,5.05,,,,,,
Total,,,,,,35.55,44.65,29.24,32.54,37.17,41.03,41.19,41.47,40.25,,,,,,
