NEWPORT CASTLE HOLD - THE GRAMMAR SCHOOL IOW,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ498891,Long,-1.296218,Lat,50.699418,Elevation,45,ft,,,,,,,,,,,,
Station no,RR352,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.05,2.69,4.54,1.05,7.3,0.75,0.9,1.05,2.61,1.54,4.64,5.72,,,,,,
February,,,1.46,1.66,3.86,0.69,4,1.48,1.15,0.38,4.14,1.81,2.88,1.35,,,,,,
March,,,2.21,3.46,1.44,5.79,1.33,0.47,2.73,4.1,1.64,2.43,4.66,3.14,,,,,,
April,,,1.56,2.66,1.52,2.05,1.33,4.62,2.68,1.18,1.73,1.53,0.05,2.64,,,,,,
May,,,1.76,2.32,3.61,0.38,2.08,2.25,1.61,1.74,1.46,2.08,1.37,2.71,,,,,,
June,,,2.55,2.4,0.85,3.75,1.08,2.03,0.52,3.34,3.79,2.23,4.05,0.96,,,,,,
July,,2.57,1.44,2.32,0.74,0.31,0.59,1.21,1.7,2.67,3.13,0.35,1.97,1.16,,,,,,
August,,1.64,4.75,4.57,2.52,2.62,0.73,1.48,2.54,3.05,2.23,0.51,7.02,1.94,,,,,,
September,,2.72,0.79,2.54,2.49,3.06,1.19,1.05,2.27,4.5,0.22,1.94,3.16,3.71,,,,,,
October,,3.42,2.66,8.81,2.52,2.27,5.36,6.4,2.07,9.74,7.2,6.86,3.91,3.91,,,,,,
November,,0.56,3.75,1.74,1.32,5.09,5.31,2.86,1.01,1.02,5.11,6.1,2.31,3.72,,,,,,
December,,4.08,2.21,2.89,3.9,0.91,2.01,3.44,4.06,4.78,5.1,9.02,4.33,1.94,,,,,,
Total,,25.89,26.19,38.06,29.31,27.97,32.31,28.04,23.24,37.55,38.36,36.4,40.35,32.9,,,,,,
